sweep,param_name,param,beta,theta,g,ed_p00,ed_p11,ed_coh,analytic_disc_p00,analytic_disc_p11,analytic_disc_coh,analytic_cont_p00,analytic_cont_p11,analytic_cont_coh
coupling,g,0.34576060559768196,2.0,0.7853981633974483,0.34576060559768196,0.14782481098972147,0.8521751890102772,0.03952062813724264,0.14791499259840618,0.8520850074015938,0.039800454508193514,0.16708411956754832,0.8329158804324517,0.06670348211293751
coupling,g,0.38703933251787526,2.0,0.7853981633974483,0.38703933251787526,0.15419068433739233,0.8458093156626073,0.048263783376616826,0.15429053866686726,0.8457094613331327,0.048638188122300495,0.17652987751046523,0.8234701224895348,0.07986240415933524
coupling,g,0.433246131834305,2.0,0.7853981633974483,0.433246131834305,0.16170669164548254,0.8382933083545182,0.05856145463887455,0.16180303560211745,0.8381969643978826,0.0590519544064115,0.18711435613981708,0.8128856438601829,0.09460768241303505
coupling,g,0.4849693428528198,2.0,0.7853981633974483,0.4849693428528198,0.17043972703218738,0.8295602729678112,0.07048938773572538,0.17051294136734346,0.8294870586326566,0.07112555973064096,0.19867897462671574,0.8013210253732843,0.11071839730590856
coupling,g,0.5428675439323859,2.0,0.7853981633974483,0.5428675439323859,0.18038258260511789,0.8196174173948817,0.08401559202040429,0.18041512176014057,0.8195848782398594,0.08485188710254832,0.21096272203064936,0.7890372779693506,0.1278309334838246
coupling,g,0.6076779379941532,2.0,0.7853981633974483,0.6076779379941532,0.19141556880499433,0.8085844311950046,0.09894757771518807,0.19141573041843296,0.808584269581567,0.1001008474066645,0.22361964872369,0.77638035127631,0.14546334717759132
coupling,g,0.6802257391368726,2.0,0.7853981633974483,0.6802257391368726,0.20327046061194284,0.7967295393880567,0.11488468955177451,0.20331825517859892,0.7966817448214011,0.11660003697193573,0.23625732525420212,0.7637426747457978,0.1630689433952354
coupling,g,0.7614346798760308,2.0,0.7853981633974483,0.7614346798760308,0.21551316859826214,0.7844868314017376,0.13119923567310987,0.21582701966773266,0.7841729803322673,0.1339395914523645,0.24848771749878334,0.7515122825012166,0.18010715029360236
coupling,g,0.852338772792677,2.0,0.7853981633974483,0.852338772792677,0.22756781330121348,0.7724321866987857,0.1470781728771807,0.22857271942642488,0.7714272805735751,0.15160758380676678,0.25997634695504995,0.74002365304495,0.19611200457301198
coupling,g,0.9540954763499939,2.0,0.7853981633974483,0.9540954763499939,0.23880052130993945,0.7611994786900605,0.16164925982467904,0.2411568772036521,0.7588431227963479,0.16905164789144078,0.27047660141441576,0.7295233985855842,0.21073994980865565
coupling,g,1.0680004325145755,2.0,0.7853981633974483,1.0680004325145755,0.24865664801839604,0.7513433519816058,0.17417877945849267,0.2532040308116336,0.7467959691883663,0.18575132086882823,0.2798428454662797,0.7201571545337203,0.22378810074485833
