n_modes,n_cut,dim,omega_min,omega_max,omega_q,q_strength,tau_c,g,beta,theta,ed_p00,ed_p11,ed_re01,ed_im01,ed_coh,ed_mz,chi,diag_s
2,20,800,1.5,2.5,2.0,10.0,1.0,0.19583333333333336,3.310344827586207,0.7853981633974483,0.009457091012307316,0.9905429089876923,0.029878697140386212,0.0,0.059757394280772425,-0.981085817975385,3.178789250698088,0.10321182400002726
2,20,800,1.5,2.5,2.0,10.0,1.0,0.19583333333333336,3.6448275862068966,0.7853981633974483,0.008504288193261092,0.9914957118067388,0.030257870941488064,0.0,0.06051574188297613,-0.9829914236134777,5.862671724413837,0.10321182400002726
2,20,800,1.5,2.5,2.0,10.0,1.0,0.19583333333333336,3.979310344827586,0.7853981633974483,0.007959692358426876,0.9920403076415728,0.030500112015141207,0.0,0.061000224030282414,-0.9840806152831459,11.010766126407221,0.10321182400002726
2,20,800,1.5,2.5,2.0,10.0,1.0,0.19583333333333336,4.313793103448275,0.7853981633974483,0.007644849479377148,0.9923551505206226,0.03065425263942766,0.0,0.06130850527885532,-0.9847103010412455,20.954433255738273,0.10321182400002726
2,20,800,1.5,2.5,2.0,10.0,1.0,0.19583333333333336,4.6482758620689655,0.7853981633974483,0.007460827570053185,0.9925391724299464,0.030752046577371978,0.0,0.061504093154743956,-0.9850783448598932,40.24131079380556,0.10321182400002726
2,20,800,1.5,2.5,2.0,10.0,1.0,0.19583333333333336,4.982758620689655,0.7853981633974483,0.007352164875371753,0.9926478351246281,0.0308139560652026,0.0,0.0616279121304052,-0.9852956702492564,77.74499965482102,0.10321182400002726
2,20,800,1.5,2.5,2.0,10.0,1.0,0.19583333333333336,5.317241379310345,0.7853981633974483,0.007287401594251806,0.992712598405748,0.030853083890092753,0.0,0.061706167780185506,-0.9854251968114962,150.78363377198883,0.10321182400002726
2,20,800,1.5,2.5,2.0,10.0,1.0,0.19583333333333336,5.651724137931034,0.7853981633974483,0.007248480999724581,0.9927515190002755,0.030877782220138126,0.0,0.06175556444027625,-0.985503038000551,293.16006936146044,0.10321182400002726
2,20,800,1.5,2.5,2.0,10.0,1.0,0.19583333333333336,5.986206896551724,0.7853981633974483,0.007224920202822293,0.9927750797971775,0.030893357263479672,0.0,0.061786714526959344,-0.9855501595943552,570.8577743081636,0.10321182400002726
2,20,800,1.5,2.5,2.0,10.0,1.0,0.19583333333333336,6.320689655172414,0.7853981633974483,0.007210567534158968,0.9927894324658406,0.030903171709376856,0.0,0.06180634341875371,-0.9855788649316817,1112.682103645655,0.10321182400002726
2,20,800,1.5,2.5,2.0,10.0,1.0,0.19583333333333336,6.655172413793103,0.7853981633974483,0.007201777126918669,0.9927982228730811,0.030909352575527863,0.0,0.061818705151055725,-0.9855964457461623,2170.0778601727843,0.10321182400002726
2,20,800,1.5,2.5,2.0,10.0,1.0,0.19583333333333336,6.989655172413793,0.7853981633974483,0.007196368859697956,0.9928036311403018,0.030913243342087136,0.0,0.06182648668417427,-0.9856072622806038,4233.904615979388,0.10321182400002726
2,20,800,1.5,2.5,2.0,10.0,1.0,0.19583333333333336,7.324137931034483,0.7853981633974483,0.007193028750320801,0.9928069712496792,0.030915691648996654,0.0,0.06183138329799331,-0.9856139424993584,8262.404596277644,0.10321182400002726
2,20,800,1.5,2.5,2.0,10.0,1.0,0.19583333333333336,7.658620689655172,0.7853981633974483,0.007190959376326513,0.9928090406236734,0.030917231839240517,0.0,0.061834463678481034,-0.9856180812473468,16126.23988112053,0.10321182400002726
2,20,800,1.5,2.5,2.0,10.0,1.0,0.19583333333333336,7.993103448275862,0.7853981633974483,0.007189673926312917,0.992810326073687,0.0309182005327244,0.0,0.0618364010654488,-0.9856206521473742,31477.290620017196,0.10321182400002726
2,20,800,1.5,2.5,2.0,10.0,1.0,0.19583333333333336,8.327586206896552,0.7853981633974483,0.007188873708973686,0.9928111262910262,0.03091880967951886,0.0,0.06183761935903772,-0.9856222525820525,61444.715854605936,0.10321182400002726
2,20,800,1.5,2.5,2.0,10.0,1.0,0.19583333333333336,8.662068965517243,0.7853981633974483,0.007188374676913364,0.9928116253230864,0.030919192677846444,0.0,0.06183838535569289,-0.9856232506461731,119945.9886713829,0.10321182400002726
2,20,800,1.5,2.5,2.0,10.0,1.0,0.19583333333333336,8.996551724137932,0.7853981633974483,0.007188063020413033,0.9928119369795867,0.030919433459575676,0.0,0.06183886691915135,-0.9856238739591736,234150.66788526427,0.10321182400002726
2,20,800,1.5,2.5,2.0,10.0,1.0,0.19583333333333336,9.331034482758621,0.7853981633974483,0.007187868154878813,0.992812131845121,0.030919584819784546,0.0,0.06183916963956909,-0.9856242636902421,457098.9075411851,0.10321182400002726
2,20,800,1.5,2.5,2.0,10.0,1.0,0.19583333333333336,9.66551724137931,0.7853981633974483,0.00718774619712339,0.9928122538028765,0.0309196799611122,0.0,0.0618393599222244,-0.9856245076057532,892335.1734028978,0.10321182400002726
2,20,800,1.5,2.5,2.0,10.0,1.0,0.19583333333333336,10.0,0.7853981633974483,0.007187669809838849,0.9928123301901608,0.030919739761246387,0.0,0.061839479522492774,-0.9856246603803219,1741997.8958718574,0.10321182400002726
2,20,800,1.5,2.5,2.0,10.0,1.0,0.26875,0.3,0.7853981633974483,0.35732997520108534,0.6426700247989148,0.0030934446016528117,0.0,0.006186889203305623,-0.28534004959782944,0.009433270773153375,0.10285963200021797
2,20,800,1.5,2.5,2.0,10.0,1.0,0.26875,0.6344827586206896,0.7853981633974483,0.2297032105411173,0.7702967894588831,0.011904748008707102,0.0,0.023809496017414205,-0.5405935789177658,0.04351188058502568,0.10285963200021797
2,20,800,1.5,2.5,2.0,10.0,1.0,0.26875,0.9689655172413794,0.7853981633974483,0.14240253908905195,0.857597460910948,0.022583645856589583,0.0,0.04516729171317917,-0.715194921821896,0.10733429137633489,0.10285963200021797
2,20,800,1.5,2.5,2.0,10.0,1.0,0.26875,1.303448275862069,0.7853981633974483,0.08830683343428573,0.9116931665657148,0.032316171320738635,0.0,0.06463234264147727,-0.8233863331314291,0.2117333634701355,0.10285963200021797
2,20,800,1.5,2.5,2.0,10.0,1.0,0.26875,1.6379310344827587,0.7853981633974483,0.056541263214813946,0.9434587367851869,0.039994515742685546,0.0,0.07998903148537109,-0.886917473570373,0.3780238832093264,0.10285963200021797
2,20,800,1.5,2.5,2.0,10.0,1.0,0.26875,1.9724137931034484,0.7853981633974483,0.038324581281240985,0.9616754187187594,0.0455859736239632,0.0,0.0911719472479264,-0.9233508374375184,0.6473501799945718,0.10285963200021797
2,20,800,1.5,2.5,2.0,10.0,1.0,0.26875,2.3068965517241375,0.7853981633974483,0.027937683497265844,0.9720623165027348,0.04947335416085638,0.0,0.09894670832171276,-0.9441246330054689,1.0994084271573428,0.10285963200021797
2,20,800,1.5,2.5,2.0,10.0,1.0,0.26875,2.6413793103448273,0.7853981633974483,0.021990403469184953,0.9780095965308158,0.05210217748231176,0.0,0.10420435496462352,-0.9560191930616309,1.8895250798679828,0.10285963200021797
2,20,800,1.5,2.5,2.0,10.0,1.0,0.26875,2.975862068965517,0.7853981633974483,0.01855335585318877,0.9814466441468117,0.05384979235743201,0.0,0.10769958471486402,-0.962893288293623,3.321146738033562,0.10285963200021797
2,20,800,1.5,2.5,2.0,10.0,1.0,0.26875,3.310344827586207,0.7853981633974483,0.016543909246947628,0.9834560907530526,0.05499901844180894,0.0,0.10999803688361788,-0.966912181506105,5.986671788237536,0.10285963200021797
2,20,800,1.5,2.5,2.0,10.0,1.0,0.26875,3.6448275862068966,0.7853981633974483,0.015354697327942207,0.984645302672058,0.05574936943594092,0.0,0.11149873887188184,-0.9692906053441157,11.04127661452814,0.10285963200021797
2,20,800,1.5,2.5,2.0,10.0,1.0,0.26875,3.979310344827586,0.7853981633974483,0.014642530092824301,0.9853574699071763,0.0562369333309869,0.0,0.1124738666619738,-0.970714939814352,20.736776721315362,0.10285963200021797
2,20,800,1.5,2.5,2.0,10.0,1.0,0.26875,4.313793103448275,0.7853981633974483,0.01421135104932879,0.9857886489506718,0.05655269029513676,0.0,0.11310538059027352,-0.971577297901343,39.4638664337642,0.10285963200021797
2,20,800,1.5,2.5,2.0,10.0,1.0,0.26875,4.6482758620689655,0.7853981633974483,0.013947728863764105,0.9860522711362366,0.05675670181655071,0.0,0.11351340363310142,-0.9721045422724726,75.78719476230401,0.10285963200021797
