sweep,param_name,param,beta,theta,g,ed_p00,ed_p11,ed_coh,analytic_disc_p00,analytic_disc_p11,analytic_disc_coh,analytic_cont_p00,analytic_cont_p11,analytic_cont_coh,d_disc_p00,d_disc_coh,d_cont_p00,d_cont_coh
coupling,g,1.0,2.0,0.7853981633974483,1.0,0.262361802462342,0.7376381975376586,0.19116474634646352,0.29493610983394136,0.7050638901660586,0.24479792428526806,0.26828552579504295,0.731714474204957,0.20762916076759447,-0.03257430737159939,-0.05363317793880454,-0.00592372333270097,-0.016464414421130946
coupling,g,1.1,2.0,0.7853981633974483,1.1,0.2657057802328773,0.7342942197671221,0.19501263663408103,0.3000378421023349,0.6999621578976651,0.2519046836009828,0.2764971976563436,0.7235028023436564,0.21906565633388908,-0.03433206186945764,-0.056892046966901755,-0.010791417423466343,-0.024053019699808054
coupling,g,1.2000000000000002,2.0,0.7853981633974483,1.2000000000000002,0.26825036333251856,0.7317496366674815,0.19787990578295328,0.3040728720601895,0.6959271279398105,0.25752551692456294,0.2832594658994737,0.7167405341005263,0.2284835498014933,-0.035822508727670954,-0.059645611141609656,-0.015009102566955146,-0.030603644018540016
coupling,g,1.3,2.0,0.7853981633974483,1.3,0.2702305244579893,0.7297694755420107,0.20007429963044016,0.3073085198174983,0.6926914801825017,0.2620328035934627,0.2888566902983733,0.7111433097016266,0.23627887249616225,-0.03707799535950901,-0.06195850396302255,-0.018626165840384012,-0.036204572865722096
coupling,g,1.4000000000000001,2.0,0.7853981633974483,1.4000000000000001,0.2718004705638135,0.7281995294361856,0.20179155377226599,0.3099367107192436,0.6900632892807563,0.2656938973537466,0.29351909509887625,0.7064809049011238,0.24277226053331852,-0.0381362401554301,-0.06390234358148061,-0.021718624535062736,-0.04098070676105253
coupling,g,1.5,2.0,0.7853981633974483,1.5,0.27306523604945115,0.7269347639505491,0.20316089371176047,0.3120968753028014,0.6879031246971986,0.2687030262084268,0.29742969662768337,0.7025703033723166,0.2482186029835714,-0.03903163925335024,-0.06554213249666632,-0.024364460578232217,-0.045057709271810936
coupling,g,1.6,2.0,0.7853981633974483,1.6,0.274099047227267,0.7259009527727324,0.2042710925744133,0.3138916487555006,0.6861083512444994,0.27120316190421545,0.30073288787001595,0.699267112129984,0.25281899771872773,-0.03979260152823355,-0.06693206932980214,-0.02663384064274893,-0.048547905144314424
coupling,g,1.7000000000000002,2.0,0.7853981633974483,1.7000000000000002,0.2749558186149733,0.7250441813850272,0.20518511484569518,0.31539760072700346,0.6846023992729966,0.27330096665747566,0.30354243010412296,0.696457569895877,0.25673188145865256,-0.040441782112030145,-0.06811585181178048,-0.02858661148914965,-0.05154676661295737
coupling,g,1.8,2.0,0.7853981633974483,1.8,0.27567538302141253,0.7243246169785874,0.20594860036445703,0.31667260795078633,0.6833273920492137,0.2750770632828041,0.3059481493859487,0.6940518506140513,0.2600823560471481,-0.0409972249293738,-0.0691284629183471,-0.030272766364536186,-0.05413375568269105
coupling,g,1.9000000000000001,2.0,0.7853981633974483,1.9000000000000001,0.2762874636127445,0.7237125363872557,0.20659509831334785,0.3177609683708532,0.6822390316291468,0.2765931592179207,0.3080212797510792,0.6919787202489208,0.2629696299944791,-0.04147350475810874,-0.06999806090457286,-0.0317338161383347,-0.05637453168113124
coupling,g,2.0,2.0,0.7853981633974483,2.0,0.27681439198216595,0.7231856080178345,0.20714951932661263,0.31869698941372443,0.6813030105862756,0.27789704501909085,0.30981862455261777,0.6901813754473822,0.2654728140233941,-0.04188259743155848,-0.07074752569247822,-0.03300423257045182,-0.05832329469678149
coupling,g,2.1,2.0,0.7853981633974483,2.1,0.27727305575705113,0.7227269442429487,0.20763052573921628,0.31950753656430897,0.680492463435691,0.2790261445504265,0.3113857603230602,0.6886142396769398,0.2676553831266374,-0.042234480807257835,-0.07139561881121023,-0.03411270456600907,-0.06002485738742111
coupling,g,2.2,2.0,0.7853981633974483,2.2,0.277676322440494,0.7223236775595058,0.20805223026344014,0.3202138659406912,0.6797861340593088,0.2800100677771833,0.3127594928344821,0.6872405071655179,0.2695685971519313,-0.04253754350019717,-0.07195783751374316,-0.03508317039398812,-0.061516366888491186
coupling,g,2.3000000000000003,2.0,0.7853981633974483,2.3000000000000003,0.2780340847257314,0.7219659152742688,0.20842541584535176,0.32083295805160283,0.6791670419483972,0.28087246870201515,0.3139697397629263,0.6860302602370737,0.2712541228116331,-0.042798873325871456,-0.07244705285666339,-0.035935655037194925,-0.06282870696628132
