beta,n_cut,ed_p00,ed_coh,ordered_p00,ed_minus_ordered_p00,d_ed,d_ordered,dp00_dbeta,dprime_minus_w2,analytic_v12_p00,analytic_v12_coh,analytic_raw_p00,analytic_raw_coh,d_v12,d_raw
3.2,8,0.3262610399681181,1.3005489351597324e-16,0.243022176653128,0.0832388633149901,2.837427530405326,2.6319093717808992,0.0088179101587056,0.0200782106620025,0.32962959795376556,7.694315535282404e-17,1.0,2.34214517560293e-16,2.845069597559852,20.46978799617044
3.6,8,0.3291582667145868,1.4056704997687062e-16,0.2399922225645525,0.0891660441500342,3.244002723362942,3.023638925070083,0.0061562489162911,0.013949545148316,0.34631469981292695,8.898689344782441e-17,1.0,2.573164587158369e-16,3.2823609277193233,20.86978799617044
4.0,8,0.3311860391011511,1.5014777301692028e-16,0.2377035326123121,0.0934825064888389,3.648587166523978,3.4173443455319776,0.0043230798996861,0.0097630773185639,0.35420429537774334,9.790286720055483e-17,1.0,2.7657141655332024e-16,3.6996953226039704,21.26978799617044
4.4,8,0.3326167306343357,1.594346246946727e-16,0.2361099576260218,0.0965067730083138,4.051813185217793,3.812936881723747,0.0030620838448469,0.006899284934043,0.35505949010350935,1.0377666450164622e-16,1.0,2.9235969974538936e-16,4.1015636366843715,21.66978799617044
4.8,8,0.3336357061770286,1.6883628236066688e-16,0.2351700548056449,0.0984656513713836,4.454106594471213,4.210327687331816,0.0021895356581818,0.0049252880428127,0.3511031488285661,1.0715494285964509e-16,1.0,3.0523325667274685e-16,4.492903141274464,22.06978799617044
5.2,8,0.3343683591608812,1.7858671063006728e-16,0.2348401384988419,0.0995282206620392,4.855753415652043,4.609410119838033,0.0015801369538281,0.0035503489578245,0.34418393043080486,1.0866970008490561e-16,1.0,3.157497844778343e-16,4.877647914045792,22.46978799617044
5.6,8,0.3348998157400911,1.8879842303026226e-16,0.2350729458477693,0.0998268698923218,5.256946873637473,5.010057699304888,0.0011500060290112,0.0025817510673507,0.33558699195732267,1.0886015715824229e-16,1.0,3.2439607913143044e-16,5.258488628553374,22.869787996170437
6.0,8,0.3352883639840902,1.995054664518633e-16,0.2358184352128152,0.099469928771275,5.657818816505924,5.412128377717086,0.0009713706099977,0.0021798571711282,0.32612076115051825,1.0812956124330687e-16,1.0,3.31567158439122e-16,5.6371084108687874,23.26978799617044
0.4,10,0.344864052129785,6.1823489045053335e-18,0.3627796739340557,-0.0179156218042707,0.0791537597377975,0.1183401072839758,-0.1007394161379755,-0.2299312834835255,0.3543502443384818,2.887306613431966e-18,0.3711041082203226,3.978651037518269e-18,0.10001431597068489,0.1362584546268822
0.8,10,0.3045682856745947,1.4423914608655198e-17,0.3053042363607263,-0.0007359506861315,0.3871812463443874,0.3889173880691877,-0.0428742861875067,-0.0973678010728942,0.27962433551495797,8.564639844296883e-18,0.3908300932866521,1.7095758204643048e-17,0.3268371056460655,0.5780878498800415
1.2,10,0.3105646231797796,4.4037148129854236e-17,0.2797476004425521,0.0308170227372275,0.8012595188794822,0.727143032063879,0.0235415516449715,0.0546588603971245,0.24505631935022743,1.5446069138957104e-17,0.6297839340298014,5.215471965687637e-17,0.6374224538628126,1.4656450007114352
1.6,10,0.323401526990572,8.189776803665328e-17,0.2663144983431521,0.0570870286474199,1.230908334662087,1.0932987350238277,0.0292566215770869,0.066998161613033,0.23771326188995145,2.3837760332637815e-17,0.9564233572390857,1.1012661125382162e-16,1.0173711918630512,3.14433968350557
2.0,10,0.3339699204414492,1.2223928931773027e-16,0.2578301571563253,0.0761397632851238,1.654858048169909,1.4713614734312443,0.0225138277444839,0.0507361005296695,0.25024611634985783,3.453757905116448e-17,0.9998384996039794,1.4600368009043384e-16,1.451349950725443,6.365420724863051
2.4,10,0.3414125891861591,1.610061476681377e-16,0.2516748739947956,0.0897377151913635,2.071497215085823,1.855150263988624,0.015595887204819,0.0347428048050924,0.27542970169626324,4.780191147362936e-17,0.9999999989343278,1.7739452218716188e-16,1.9163768213136332,12.729830023017643
2.8,10,0.3464466302053044,1.9644511144143328e-16,0.2468652590813337,0.0995813711239706,2.482652292013982,2.24229926369797,0.0105347567150194,0.0232904532346625,0.3045546498072258,6.260667940079669e-17,1.0,2.0731856414093365e-16,2.3871490564860105,20.06978799617044
3.2,10,0.3498403945581747,2.2832337318400597e-16,0.243022176653128,0.1068182179050467,2.890129577673553,2.6319093717808992,0.0071346152484772,0.0156952470519942,0.32962959795376556,7.694315535282404e-17,1.0,2.34214517560293e-16,2.845069597559852,20.46978799617044
3.6,10,0.3521543224040862,2.57150289321594e-16,0.2399922225645525,0.1121620998395336,3.295208489655578,3.023638925070083,0.0048977107061705,0.0107389529822434,0.34631469981292695,8.898689344782441e-17,1.0,2.573164587158369e-16,3.2823609277193233,20.86978799617044
4.0,10,0.3537585631231111,2.8367256367095024e-16,0.2377035326123121,0.116055030510799,3.698720740059348,3.4173443455319776,0.0034203923470015,0.0074830233216292,0.35420429537774334,9.790286720055483e-17,1.0,2.7657141655332024e-16,3.6996953226039704,21.26978799617044
4.4,10,0.3548906362816875,3.08613467804541e-16,0.2361099576260218,0.1187806786556656,4.101194908312881,3.812936881723747,0.0024303263106957,0.0053087910901925,0.35505949010350935,1.0377666450164622e-16,1.0,2.9235969974538936e-16,4.1015636366843715,21.66978799617044
4.8,10,0.3557028241716677,3.325679186587324e-16,0.2351700548056449,0.1205327693660227,4.502967772931502,4.210327687331816,0.0017541773593484,0.0038276379929622,0.3511031488285661,1.0715494285964509e-16,1.0,3.0523325667274685e-16,4.492903141274464,22.06978799617044
5.2,10,0.3562939781691662,3.5598048620871144e-16,0.2348401384988419,0.1214538396703243,4.904257018707251,4.609410119838033,0.0012833152712974,0.002798014170535,0.34418393043080486,1.0866970008490561e-16,1.0,3.157497844778343e-16,4.877647914045792,22.46978799617044
5.6,10,0.3567294763887057,3.79160549677886e-16,0.2350729458477693,0.1216565305409363,5.30520618426793,5.010057699304888,0.0009493731745785,0.0020687341127909,0.33558699195732267,1.0886015715824229e-16,1.0,3.2439607913143044e-16,5.258488628553374,22.869787996170437
6.0,10,0.3570534767088291,4.023098207814989e-16,0.2358184352128152,0.1212350414960138,5.705912005997484,5.412128377717086,0.0008100008003084,0.0017645543238851,0.32612076115051825,1.0812956124330687e-16,1.0,3.31567158439122e-16,5.6371084108687874,23.26978799617044
