sweep,param_name,param,beta,theta,g,variant,k_value,ordered_p00,ordered_coh,ordered_ratio,model_p00,model_coh,model_ratio,dp00,dcoh,ratio_rel_err
coupling,g,0.30000000000000004,2.0,0.7853981633974483,0.30000000000000004,chi_only,0.9450000000000002,0.06135364535012318,0.0972444771975775,0.0653639627386702,0.0630356451374483,0.10940222116496032,0.06727646020930576,0.0016819997873251252,0.012157743967382811,0.029259203244482945
coupling,g,0.30000000000000004,2.0,0.7853981633974483,0.30000000000000004,delta_only,1.0950000000000002,0.06135364535012318,0.0972444771975775,0.0653639627386702,0.06851575940510735,0.11206450982466132,0.07355546816481805,0.007162114054984167,0.014820032627083812,0.12532143222249337
coupling,g,0.4,2.0,0.7853981633974483,0.4,baseline,1.0,0.08617844214964597,0.1502814154490515,0.09430554730222114,0.08356758020420091,0.15926387408855167,0.0911879353011339,-0.0026108619454450616,0.008982458639500174,-0.03305862794153802
coupling,g,0.4,2.0,0.7853981633974483,0.4,chi_only,0.9450000000000002,0.08617844214964597,0.1502814154490515,0.09430554730222114,0.08881887094656926,0.1720165949375882,0.09747663567049249,0.0026404287969232915,0.021735179488536704,0.03362568225291085
coupling,g,0.4,2.0,0.7853981633974483,0.4,delta_only,1.0950000000000002,0.08617844214964597,0.1502814154490515,0.09430554730222114,0.0955548108387127,0.17203175826506098,0.10565019526205105,0.00937636868906673,0.021750342816009488,0.12029671938039543
coupling,g,0.5,2.0,0.7853981633974483,0.5,baseline,1.0,0.10787756975607238,0.19458177143437683,0.12092238251040957,0.10036041603197421,0.20004515207939988,0.1115562474355743,-0.007517153724098169,0.005463380645023053,-0.07745576030168766
coupling,g,0.5,2.0,0.7853981633974483,0.5,chi_only,0.9450000000000002,0.10787756975607238,0.19458177143437683,0.12092238251040957,0.11001280538251784,0.22348590844821994,0.12361167222164529,0.002135235626445464,0.028904137013843118,0.022239800898764317
coupling,g,0.5,2.0,0.7853981633974483,0.5,delta_only,1.0950000000000002,0.10787756975607238,0.19458177143437683,0.12092238251040957,0.11589040398336331,0.21713206695312884,0.13108149092093163,0.008012834227290933,0.02255029551875201,0.08401346549426036
coupling,g,0.6000000000000001,2.0,0.7853981633974483,0.6000000000000001,baseline,1.0,0.12403357441628797,0.2257805859514722,0.14159626532904673,0.11182835525719964,0.2278949579324765,0.12590849518685465,-0.012205219159088329,0.0021143719810042816,-0.11079225928548508
coupling,g,0.6000000000000001,2.0,0.7853981633974483,0.6000000000000001,chi_only,0.9450000000000002,0.12403357441628797,0.2257805859514722,0.14159626532904673,0.12557368133054547,0.26127538095458974,0.1436069325104727,0.0015401069142575025,0.03549479500311753,0.014200001509598437
coupling,g,0.6000000000000001,2.0,0.7853981633974483,0.6000000000000001,delta_only,1.0950000000000002,0.12403357441628797,0.2257805859514722,0.14159626532904673,0.12963110409743228,0.2476062120801768,0.1489381165936606,0.0055975296811443115,0.02182562612870459,0.05185059964366001
coupling,g,0.7000000000000001,2.0,0.7853981633974483,0.7000000000000001,baseline,1.0,0.13520235091735844,0.24598853222425193,0.15633986870891492,0.11953868240006338,0.2466194305491541,0.13576823877500463,-0.01566366851729506,0.0006308983249021793,-0.13158275047686052
coupling,g,0.7000000000000001,2.0,0.7853981633974483,0.7000000000000001,chi_only,0.9450000000000002,0.13520235091735844,0.24598853222425193,0.15633986870891492,0.136620843039105,0.2881033317109186,0.15823968176393322,0.0014184921217465507,0.04211479948666669,0.012151814317789222
coupling,g,0.7000000000000001,2.0,0.7853981633974483,0.7000000000000001,delta_only,1.0950000000000002,0.13520235091735844,0.24598853222425193,0.15633986870891492,0.13876058059711993,0.2678535786245201,0.1611173124116013,0.003558229679761493,0.02186504640026815,0.03055806392917826
coupling,g,0.8,2.0,0.7853981633974483,0.8,baseline,1.0,0.1429146767845573,0.258986841802572,0.16674498199128923,0.12481715400710602,0.2594381599276425,0.14261837349599912,-0.018097522777451275,0.00045131812507054336,-0.1446916615250856
coupling,g,0.8,2.0,0.7853981633974483,0.8,chi_only,0.9450000000000002,0.1429146767845573,0.258986841802572,0.16674498199128923,0.1444894702467286,0.3072122348676882,0.16889268480237085,0.0015747934621712922,0.04822539306511625,0.012880164580867604
coupling,g,0.8,2.0,0.7853981633974483,0.8,delta_only,1.0950000000000002,0.1429146767845573,0.258986841802572,0.16674498199128923,0.14494576388340036,0.28157108730593805,0.1695164561042357,0.0020310870988430596,0.022584245503366074,0.016621034587363193
coupling,g,0.9,2.0,0.7853981633974483,0.9,baseline,1.0,0.14845621517109192,0.2676930406150363,0.1743377355527522,0.12853457704399956,0.26846589436344337,0.14749245771336722,-0.019921638127092356,0.0007728537484070763,-0.15398432103221837
coupling,g,0.9,2.0,0.7853981633974483,0.9,chi_only,0.9450000000000002,0.14845621517109192,0.2676930406150363,0.1743377355527522,0.15019379328393845,0.32106514130445074,0.17673887540117886,0.0017375781128465273,0.05337210068941445,0.013772920938852629
