case,beta,n_modes,n_cut,omega_nodes,ed_p00,ed_coh,analytic_disc_p00,analytic_disc_coh,d_p00,d_coh
"uniform_[0.2,1.0,1.8]",2.3625000000000003,3,3,0.200000;1.000000;1.800000,0.22917321320256312,1.2130850081380512e-18,0.24835300401418625,1.5331901776608156e-17,-0.019179790811623132,-1.4118816768470106e-17
"uniform_[0.2,1.0,1.8]",2.95,3,3,0.200000;1.000000;1.800000,0.21606473291866915,2.054402802220008e-17,0.24023749126620675,2.1331993563619268e-17,-0.0241727583475376,-7.879655414191879e-19
"uniform_[0.2,1.0,1.8]",3.5375,3,3,0.200000;1.000000;1.800000,0.20779236869060322,4.375809643197964e-17,0.24363096494607617,2.842606667650683e-17,-0.03583859625547295,1.533202975547281e-17
"uniform_[0.2,1.0,1.8]",4.125,3,3,0.200000;1.000000;1.800000,0.2021979986846319,6.750217843658327e-17,0.25602388206725585,3.6860629307087014e-17,-0.05382588338262395,3.064154912949626e-17
"uniform_[0.2,1.0,1.8]",4.7124999999999995,3,3,0.200000;1.000000;1.800000,0.1981710116574293,9.142402962609349e-17,0.27451280922181853,4.65958762162636e-17,-0.07634179756438922,4.4828153409829896e-17
"uniform_[0.2,1.0,1.8]",5.3,3,3,0.200000;1.000000;1.800000,0.1951173603369339,1.1535043990002937e-16,0.2956535465651762,5.717713613123585e-17,-0.10053618622824229,5.817330376879351e-17
"uniform_[0.2,1.0,1.8]",5.8875,3,3,0.200000;1.000000;1.800000,0.19270233030456763,1.3916381006794563e-16,0.3160145933370152,6.781718903822006e-17,-0.12331226303244758,7.134662102972558e-17
"uniform_[0.2,1.0,1.8]",6.475,3,3,0.200000;1.000000;1.800000,0.19072583803308835,1.6276877742178454e-16,0.33298973524209907,7.766841272506939e-17,-0.14226389720901073,8.510036469671515e-17
"uniform_[0.2,1.0,1.8]",7.0625,3,3,0.200000;1.000000;1.800000,0.189061273366221,1.8608473829929546e-16,0.34525363602887515,8.609960230850682e-17,-0.15619236266265416,9.998513599078864e-17
"uniform_[0.2,1.0,1.8]",7.65,3,3,0.200000;1.000000;1.800000,0.18762461658757332,2.0904436934156146e-16,0.3526519499849563,9.281699349049848e-17,-0.16502733339738299,1.1622737585106298e-16
"uniform_[0.2,1.0,1.8]",8.2375,3,3,0.200000;1.000000;1.800000,0.18635809401954953,2.3159281487314847e-16,0.3557686518403953,9.782348133484472e-17,-0.16941055782084577,1.3376933353830375e-16
"uniform_[0.2,1.0,1.8]",8.825,3,3,0.200000;1.000000;1.800000,0.18522099382940108,2.5368652579906844e-16,0.355486794271723,1.0130458586505561e-16,-0.1702658004423219,1.5238193993401284e-16
"uniform_[0.2,1.0,1.8]",9.4125,3,3,0.200000;1.000000;1.800000,0.18418416267361973,2.7529181337035403e-16,0.3526957749730255,1.0351970457823709e-16,-0.16851161229940578,1.7177210879211693e-16
"uniform_[0.2,1.0,1.8]",10.0,3,3,0.200000;1.000000;1.800000,0.18322650686530306,2.9638333409702424e-16,0.3481509555298269,1.0473048500344376e-16,-0.16492444866452383,1.9165284909358048e-16
