sweep,param_name,param,beta,theta,g,ordered_p00,ordered_coh,exact_raw_p00,exact_raw_coh,diag_renorm_p00,diag_renorm_coh,raw_minus_ordered_p00,renorm_minus_ordered_p00,raw_minus_ordered_coh,renorm_minus_ordered_coh,diag_scale_sg
g_beta2_theta_pi4,g,0.7000000000000001,2.0,0.7853981633974483,0.7000000000000001,0.13520235091735844,0.24598853222425193,0.17414683785107227,0.37923478395234006,0.06844764357478433,0.17133053976862678,0.03894448693371383,-0.0667547073425741,0.13324625172808813,-0.07465799245562516,0.568539819511231
g_beta2_theta_pi4,g,0.8,2.0,0.7853981633974483,0.8,0.1429146767845573,0.258986841802572,0.17414741587103416,0.37923618766900247,0.06623920285685014,0.16698678119249538,0.031232739086476863,-0.07667547392770716,0.12024934586643049,-0.0920000606100766,0.5541477414654453
g_beta2_theta_pi4,g,0.9,2.0,0.7853981633974483,0.9,0.14845621517109192,0.2676930406150363,0.17414742203454303,0.37923620263703245,0.06468331835580832,0.16392644481977964,0.02569120686345111,-0.0837728968152836,0.11154316202199616,-0.10376659579525666,0.5437388288704863
g_beta2_theta_pi4,g,1.0,2.0,0.7853981633974483,1.0,0.15264871163127142,0.2738770862599036,0.1741474220703128,0.379236202723899,0.06354918414342303,0.1616956663853526,0.02149871043904139,-0.08909952748784838,0.10535911646399543,-0.11218141987455099,0.5360035640138407
g_beta2_theta_pi4,g,1.1,2.0,0.7853981633974483,1.1,0.15597252413081664,0.2785292926779147,0.17414742207042588,0.37923620272417397,0.0626985145192076,0.16002244690405665,0.018174897939609247,-0.09327400961160903,0.10070691004625926,-0.11850684577385806,0.5301167327563749
g_beta2_theta_pi4,g,1.2000000000000002,2.0,0.7853981633974483,1.2000000000000002,0.15870551189639676,0.28219874553336727,0.1741474220704261,0.3792362027241745,0.06204488150997728,0.15873678740294817,0.01544191017402935,-0.09666063038641948,0.09703745719080725,-0.1234619581304191,0.5255425913197171
g_beta2_theta_pi4,g,1.3,2.0,0.7853981633974483,1.3,0.16101317158252257,0.2851984734313641,0.1741474220704261,0.37923620272417446,0.06153221307935913,0.1577283973286483,0.013134250487903537,-0.09948095850316344,0.09403772929281035,-0.12747007610271582,0.5219233265207222
g_beta2_theta_pi4,g,1.4000000000000001,2.0,0.7853981633974483,1.4000000000000001,0.162999041883211,0.28771552436849174,0.1741474220704261,0.37923620272417446,0.06112293091385612,0.15692336224430828,0.011148380187215118,-0.10187611096935487,0.09152067835568273,-0.13079216212418346,0.5190136503179591
g_beta2_theta_pi4,g,1.5,2.0,0.7853981633974483,1.5,0.16473165114097577,0.2898680177051373,0.17414742207042638,0.3792362027241745,0.060791128016974616,0.15627072453959176,0.009415770929450618,-0.10394052312400115,0.0893681850190372,-0.13359729316554556,0.5166413914434225
g_beta2_theta_pi4,g,1.6,2.0,0.7853981633974483,1.6,0.16625890076292388,0.2917348139672737,0.17414742207042638,0.37923620272417446,0.06051849554942712,0.15573447175360433,0.007888521307502505,-0.10574040521349676,0.08750138875690078,-0.13600034221366936,0.5146830972002708
g_beta2_theta_pi4,g,1.7000000000000002,2.0,0.7853981633974483,1.7000000000000002,0.16761590632106335,0.29337130497107455,0.1741474220704261,0.37923620272417446,0.06029180877336893,0.15528859156808855,0.006531515749362754,-0.10732409754769442,0.08586489775309991,-0.138082713402986,0.5130485321227473
g_beta2_theta_pi4,g,1.8,2.0,0.7853981633974483,1.8,0.16882942488271946,0.2948181145893819,0.17414742207042638,0.37923620272417446,0.06010132864733747,0.15491392783424032,0.005317997187706924,-0.10872809623538199,0.08441808813479257,-0.13990418675514157,0.5116705886311632
g_beta2_theta_pi4,g,1.9000000000000001,2.0,0.7853981633974483,1.9000000000000001,0.16992046738094824,0.29610609880561073,0.1741474220704261,0.3792362027241745,0.059939758340430804,0.1545961280945726,0.004226954689477869,-0.10998070904051743,0.08313010391856379,-0.14150997071103813,0.5104985722790059
g_beta2_theta_pi4,g,2.0,2.0,0.7853981633974483,2.0,0.17090591693543924,0.29725935390629976,0.1741474220704261,0.37923620272417446,0.05980154567840135,0.15432427153347136,0.0032415051349868607,-0.1111043712570379,0.0819768488178747,-0.1429350823728284,0.5094936405109488
