sweep,param_name,param,beta,theta,g,ord_p00,ord_p11,ord_coh,legacy_p00,legacy_p11,legacy_coh,running_p00,running_p11,running_coh,legacy_dp00,legacy_dp11,legacy_dcoh,running_dp00,running_dp11,running_dcoh
coupling,g,1.896551724137931,2.0,0.7853981633974483,1.896551724137931,0.28048271979466827,0.7195172802053318,0.21084074270318598,0.47809681500024326,0.5219031849997569,0.49952000344215863,0.31136958823019234,0.6886304117698078,0.2674637146070808,0.197614095205575,-0.19761409520557494,0.28867926073897265,0.030886868435524073,-0.030886868435524018,0.056622971903894814
coupling,g,1.9827586206896552,2.0,0.7853981633974483,1.9827586206896552,0.2808037662666292,0.7191962337333708,0.2111761395433265,0.47809682519179914,0.5219031748082009,0.499520017627092,0.31171080005188967,0.6882891999481104,0.2679386241379575,0.19729305892516996,-0.1972930589251699,0.2883438780837655,0.030907033785260496,-0.030907033785260385,0.056762484594630985
coupling,g,2.0689655172413794,2.0,0.7853981633974483,2.0689655172413794,0.28109460612811565,0.7189053938718845,0.21147942080641907,0.4780968270096468,0.5219031729903532,0.49952002015723046,0.31201099038596325,0.6879890096140368,0.26835643864983294,0.19700222088153113,-0.1970022208815313,0.2880405993508114,0.030916384257847596,-0.030916384257847707,0.05687701784341387
coupling,g,2.1551724137931036,2.0,0.7853981633974483,2.1551724137931036,0.281358845357762,0.7186411546422381,0.21175450196388867,0.47809682730935166,0.5219031726906482,0.4995200205743694,0.3122764549468021,0.6877235450531979,0.26872592071943213,0.19673798195158965,-0.19673798195158987,0.2877655186104807,0.030917609589040107,-0.030917609589040218,0.05697141875554346
coupling,g,2.241379310344828,2.0,0.7853981633974483,2.241379310344828,0.2815995517913506,0.7184004482086493,0.21200470137080718,0.4780968273550303,0.5219031726449698,0.4995200206379462,0.31251233099591597,0.687487669004084,0.269054220551696,0.19649727556367969,-0.19649727556367957,0.287515319267139,0.030912779204565366,-0.030912779204565366,0.0570495191808888
coupling,g,2.327586206896552,2.0,0.7853981633974483,2.327586206896552,0.28181935199986824,0.7181806480001317,0.2122328499803514,0.4780968273614667,0.5219031726385334,0.49952002064690476,0.3127228430902148,0.6872771569097852,0.2693472180201015,0.19627747536159845,-0.19627747536159834,0.28728717066655335,0.03090349109034657,-0.030903491090346513,0.05711436803975006
coupling,g,2.413793103448276,2.0,0.7853981633974483,2.413793103448276,0.28202050788159394,0.7179794921184061,0.2124413776457339,0.47809682736230535,0.5219031726376946,0.4995200206480721,0.3129114903122306,0.6870885096877695,0.26960978325967333,0.19607631948071141,-0.19607631948071147,0.2870786430023382,0.03089098243063665,-0.030890982430636593,0.05716840561393943
coupling,g,2.5,2.0,0.7853981633974483,2.5,0.2822049777756285,0.7177950222243715,0.21263238165648712,0.47809682736240666,0.5219031726375933,0.49952002064821277,0.3130811903251936,0.6869188096748065,0.2698459771674492,0.1958918495867782,-0.1958918495867782,0.28688763899172565,0.03087621254956513,-0.030876212549565074,0.057213595510962056
angle,theta,0.0,2.0,0.0,0.5,0.11920292202211753,0.8807970779778825,0.0,0.11920292202211757,0.8807970779778824,0.0,0.11920292202211757,0.8807970779778824,0.0,4.163336342344337e-17,-1.1102230246251565e-16,0.0,4.163336342344337e-17,-1.1102230246251565e-16,0.0
angle,theta,0.054165390579134366,2.0,0.054165390579134366,0.5,0.11991253029809407,0.8800874697019059,0.017419161736334905,0.11979811640685764,0.8802018835931422,0.015279134261903665,0.12149573970584149,0.8785042602941586,0.0588585344987425,-0.00011441389123642565,0.00011441389123634238,-0.00214002747443124,0.0015832094077474212,-0.0015832094077472547,0.0414393727624076
angle,theta,0.10833078115826873,2.0,0.10833078115826873,0.5,0.12203855676911837,0.8779614432308817,0.03470494025116214,0.12158679761847703,0.878413202381523,0.030508086248958437,0.12685938911624167,0.8731406108837584,0.09798504537173339,-0.00045175915064134264,0.00045175915064132877,-0.004196854002203706,0.0048208323471232994,-0.004820832347123272,0.06328010512057125
angle,theta,0.1624961717374031,2.0,0.1624961717374031,0.5,0.12557250796354485,0.8744274920364551,0.051723288826585244,0.12457809316590522,0.8754219068340948,0.04563412579409604,0.13403571522788008,0.8659642847721201,0.12592744173585613,-0.000994414797639634,0.000994414797639731,-0.006089163032489207,0.00846320726433522,-0.008463207264335026,0.07420415290927088
angle,theta,0.21666156231653746,2.0,0.21666156231653746,0.5,0.13049989952527988,0.8695001004747202,0.06833886668780254,0.12878665381401233,0.8712133461859877,0.06059943602462928,0.1424500816552119,0.8575499183447881,0.14699542866292165,-0.001713245711267547,0.0017132457112675192,-0.007739430663173258,0.011950182129932013,-0.011950182129932041,0.07865656197511911
angle,theta,0.2708269528956718,2.0,0.2708269528956718,0.5,0.13679976164516475,0.8632002383548354,0.08441447646946562,0.13423178939101746,0.8657682106089827,0.0753385969199067,0.15181131353876517,0.8481886864612348,0.16346344700352863,-0.0025679722541472882,0.0025679722541472882,-0.009075879549558921,0.015011551893600428,-0.015011551893600594,0.07904897053406301
angle,theta,0.3249923434748062,2.0,0.3249923434748062,0.5,0.14444394422554432,0.8555560557744556,0.09981060903527458,0.14093621638281395,0.859063783617186,0.08977611315836401,0.16195318010514367,0.8380468198948563,0.17659320043774707,-0.0035077278427303737,0.003507727842730457,-0.010034495876910576,0.01750923587959935,-0.017509235879599294,0.07678259140247248
angle,theta,0.37915773405394054,2.0,0.37915773405394054,0.5,0.15339622169093597,0.8466037783090641,0.11438514112011208,0.14892437636503664,0.8510756236349634,0.10382402160493535,0.17276688003772556,0.8272331199622746,0.18711148755017945,-0.004471845325899337,0.004471845325899282,-0.010561119515176728,0.019370658346789582,-0.019370658346789527,0.07272634643006737
angle,theta,0.43332312463307493,2.0,0.43332312463307493,0.5,0.1636112008040395,0.8363887991959607,0.12799323899843038,0.15822027540436068,0.8417797245956392,0.11737963259642496,0.18416971531561388,0.815830284684386,0.19544581235561154,-0.0053909253996788364,0.005390925399678559,-0.010613606402005413,0.020558514511574366,-0.020558514511574644,0.06745257335718116
angle,theta,0.4874885152122093,2.0,0.4874885152122093,0.5,0.17503304105799705,0.8249669589420029,0.14048753018168722,0.168844788695112,0.831155211304888,0.13032348404384006,0.19608932410674174,0.8039106758932583,0.20184784470876496,-0.0061882523628850605,0.006188252362885116,-0.01016404613784716,0.021056283048744684,-0.02105628304874463,0.06136031452707774
angle,theta,0.5416539057913436,2.0,0.5416539057913436,0.5,0.18759400691869874,0.8124059930813012,0.15171861418788155,0.18081237376234682,0.8191876262376531,0.1425176189444891,0.20845515165928824,0.7915448483407118,0.20646207512134895,-0.006781633156351913,0.0067816331563518295,-0.009200995243392435,0.020861144740589505,-0.02086114474058942,0.05474346093346741
angle,theta,0.595819296370478,2.0,0.595819296370478,0.5,0.20121288507270027,0.7987871149272996,0.16153599149122222,0.19412714227718486,0.8058728577228151,0.15380433555628115,0.2211935624185109,0.7788064375814893,0.20936624533060755,-0.0070857427955154095,0.007085742795515548,-0.007731655934941073,0.019980677345810632,-0.019980677345810327,0.04783025383938533
angle,theta,0.6499846869496124,2.0,0.6499846869496124,0.5,0.21579331843201513,0.7842066815679848,0.16978949514805203,0.2087782586313605,0.7912217413686394,0.16400560487926594,0.23422494416831066,0.7657750558316894,0.21059654398860694,-0.007015059800654616,0.007015059800654644,-0.0057838902687860905,0.01843162573629553,-0.01843162573629542,0.040807048840554916
angle,theta,0.7041500775287468,2.0,0.7041500775287468,0.5,0.2312221321639425,0.7687778678360574,0.1763313100583102,0.22473466771909953,0.7752653322809006,0.1729234004603563,0.24746201378099364,0.7525379862190062,0.2101642320083026,-0.006487464444842966,0.006487464444843161,-0.0034079095979538954,0.016239881617051144,-0.016239881617051144,0.03383292194999238
angle,theta,0.7583154681078811,2.0,0.7583154681078811,0.5,0.24736775508989226,0.7526322449101079,0.18101865757297986,0.24193921056560788,0.7580607894343921,0.18034123679823477,0.2608089360243266,0.7391910639756735,0.2080672636127303,-0.005428544524284373,0.005428544524284207,-0.0006774207747450856,0.013441180934434332,-0.013441180934434471,0.027048606039750456
angle,theta,0.8124808586870155,2.0,0.8124808586870155,0.5,0.26407887120213275,0.7359211287978673,0.18371720500162128,0.2603022704296289,0.7396977295703712,0.18602725721639107,0.27416106408338226,0.7258389359166177,0.20429887505752936,-0.0037766007725038575,0.0037766007725038575,0.002310052214769792,0.010082192881249508,-0.010082192881249563,0.02058167005590808
angle,theta,0.8666462492661499,2.0,0.8666462492661499,0.5,0.2811834683607735,0.7188165316392263,0.18430522721941706,0.27969520854813557,0.7203047914518644,0.1897392378007236,0.28740520978832224,0.7125947902116778,0.19885425379570404,-0.0014882598126379487,0.0014882598126381152,0.005434010581306548,0.0062217414275487215,-0.0062217414275484995,0.014549026576286983
angle,theta,0.9208116398452842,2.0,0.9208116398452842,0.5,0.298488480563528,0.7015115194364719,0.18267849819005869,0.2999439990746601,0.7000560009253398,0.1912318632606041,0.3004204005765046,0.6995795994234953,0.191735916618831,0.00145551851113207,-0.0014555185111321256,0.00855336507054541,0.0019319200129765957,-0.0019319200129765957,0.009057418428772307
angle,theta,0.9749770304244186,2.0,0.9749770304244186,0.5,0.31578024103517416,0.6842197589648259,0.17875582226660808,0.3208236514578392,0.6791763485421608,0.19026656064213526,0.31307910115634063,0.6869208988436594,0.18295814075043992,0.00504341042266504,-0.0050434104226650955,0.011510738375527185,-0.002701139878833525,0.0027011398788334695,0.004202318483831846
angle,theta,1.029142421003553,2.0,1.029142421003553,0.5,0.33282596883756943,0.6671740311624305,0.17248502941800534,0.3420541990242839,0.6579458009757161,0.1866240221755673,0.32524888157481263,0.6747511184251874,0.1725506186997276,0.009228230186714481,-0.00922823018671437,0.014138992757561974,-0.007577087262756799,0.007577087262756965,6.558928172226142e-05
angle,theta,1.0833078115826873,2.0,1.0833078115826873,0.5,0.3493764940261229,0.650623505973877,0.16384915938402697,0.3632992034221669,0.6367007965778331,0.18011928629522705,0.3367945057155863,0.6632054942844137,0.1605614003372844,0.013922709396044008,-0.013922709396043897,0.016270126911200083,-0.01258198831053664,0.012581988310536696,-0.0032877590467425832
angle,theta,1.1374732021618217,2.0,1.1374732021618217,0.5,0.36517037826141224,0.6348296217385877,0.15287245602475932,0.38416782741644856,0.6158321725835514,0.17061886506680513,0.3475803987562859,0.6524196012437141,0.14705912026052834,0.018997449155036317,-0.018997449155036317,0.017746409042045802,-0.017589979505126363,0.01758997950512642,-0.005813335764230987
angle,theta,1.191638592740956,2.0,1.191638592740956,0.5,0.37993950414890093,0.6200604958510992,0.13962569854674825,0.4042215005951057,0.5957784994048944,0.15805892047767534,0.3574734315685568,0.6425265684314432,0.1321344724583684,0.024281996446204768,-0.02428199644620488,0.018433221930927085,-0.02246607258034411,0.022466072580343943,-0.007491226088379849
angle,theta,1.2458039833200905,2.0,1.2458039833200905,0.5,0.39341608682343987,0.6065839131765601,0.12423032882378295,0.42298597737354815,0.5770140226264519,0.1424629526954796,0.3663459370885907,0.6336540629114092,0.11590088072457513,0.02956989055010828,-0.02956989055010828,0.01823262387169665,-0.02707014973484917,0.027070149734849114,-0.008329448099207812
