key,status,error,timestamp,elapsed_s,window_name,window_family,bandwidth,omega_min,omega_max,beta,omega_q,theta,g,n_modes,n_cut,case,dw,detune_over_omega_q,tail_fraction,ordered_p00,ordered_coh,best_cont_p00,best_cont_coh,best_disc_p00,best_disc_coh,ed_p00,ed_coh,d_ed_ordered_p00,d_ed_cont_p00,d_ed_disc_p00,d_ed_ordered_coh,d_ed_cont_coh,d_ed_disc_coh
center_d0.15|3.42000000|2|5,ok,,2026-02-20 11:19:26,0.0016355999978259206,center_d0.15,centered,0.29999999999999993,0.85,1.15,3.4200000000000004,1.0,1.5707963267948966,0.5,2,5,m2c5,0.29999999999999993,0.1499999999999999,0.8862601683709552,0.08226147524893923,8.75677549213896e-18,0.08061802118852213,6.229346310703256e-18,0.12690200774400667,1.2123983198750268e-17,0.11674250749418173,4.90938656482797e-17,0.0344810322452425,0.036124486305659606,-0.01015950024982494,4.033709015614074e-17,4.286451933757644e-17,3.696988244952943e-17
center_d0.15|3.42000000|2|6,ok,,2026-02-20 11:19:26,0.0017298000020673499,center_d0.15,centered,0.29999999999999993,0.85,1.15,3.4200000000000004,1.0,1.5707963267948966,0.5,2,6,m2c6,0.29999999999999993,0.1499999999999999,0.8862601683709552,0.08226147524893923,8.75677549213896e-18,0.08061802118852213,6.229346310703256e-18,0.12690200774400667,1.2123983198750268e-17,0.11676635657444999,3.5150061513012983e-17,0.03450488132551076,0.03614833538592786,-0.010135651169556684,2.6393286020874024e-17,2.8920715202309725e-17,2.3026078314262715e-17
center_d0.15|3.42000000|3|4,ok,,2026-02-20 11:19:26,0.0066187000047648326,center_d0.15,centered,0.29999999999999993,0.85,1.15,3.4200000000000004,1.0,1.5707963267948966,0.5,3,4,m3c4,0.15000000000000002,0.0,0.8862601683709552,0.08226147524893923,8.75677549213896e-18,0.08061802118852213,6.229346310703256e-18,0.10377700113360139,9.178355908121734e-18,0.0955970193980158,1.923697344036782e-17,0.013335544149076575,0.01497899820949368,-0.008179981735585581,1.048019794822886e-17,1.3007627129664564e-17,1.0058617532246085e-17
center_d0.15|3.42000000|3|5,ok,,2026-02-20 11:19:26,0.020063299998582806,center_d0.15,centered,0.29999999999999993,0.85,1.15,3.4200000000000004,1.0,1.5707963267948966,0.5,3,5,m3c5,0.15000000000000002,0.0,0.8862601683709552,0.08226147524893923,8.75677549213896e-18,0.08061802118852213,6.229346310703256e-18,0.10377700113360139,9.178355908121734e-18,0.0956609856145009,2.817783349761761e-17,0.013399510365561668,0.015042964425978772,-0.008116015519100489,1.942105800547865e-17,2.1948487186914353e-17,1.8999477589495874e-17
center_d0.15|3.42000000|3|6,ok,,2026-02-20 11:19:26,0.07198090000019874,center_d0.15,centered,0.29999999999999993,0.85,1.15,3.4200000000000004,1.0,1.5707963267948966,0.5,3,6,m3c6,0.15000000000000002,0.0,0.8862601683709552,0.08226147524893923,8.75677549213896e-18,0.08061802118852213,6.229346310703256e-18,0.10377700113360139,9.178355908121734e-18,0.09566663830230046,1.0551245531273297e-17,0.01340516305336123,0.015048617113778334,-0.008110362831300927,1.794470039134337e-18,4.32189922057004e-18,1.3728896231515622e-18
center_d0.15|3.42000000|4|4,ok,,2026-02-20 11:19:26,0.11757090000173775,center_d0.15,centered,0.29999999999999993,0.85,1.15,3.4200000000000004,1.0,1.5707963267948966,0.5,4,4,m4c4,0.09999999999999998,0.04999999999999982,0.8862601683709552,0.08226147524893923,8.75677549213896e-18,0.08061802118852213,6.229346310703256e-18,0.09574212269025306,8.155112999917085e-18,0.08853720303452366,1.3399066809390353e-17,0.006275727785584426,0.00791918184600153,-0.007204919655729405,4.642291317251394e-18,7.169720498687098e-18,5.243953809473268e-18
center_d0.15|3.42000000|4|5,ok,,2026-02-20 11:19:27,1.0132797000042046,center_d0.15,centered,0.29999999999999993,0.85,1.15,3.4200000000000004,1.0,1.5707963267948966,0.5,4,5,m4c5,0.09999999999999998,0.04999999999999982,0.8862601683709552,0.08226147524893923,8.75677549213896e-18,0.08061802118852213,6.229346310703256e-18,0.09574212269025306,8.155112999917085e-18,0.08857488254694619,8.215684015882155e-18,0.0063134072980069594,0.007956861358424064,-0.007167240143306872,-5.410914762568041e-19,1.986337705178899e-18,6.057101596507003e-20
center_d0.15|3.42000000|4|6,ok,,2026-02-20 11:19:28,7.004724099999294,center_d0.15,centered,0.29999999999999993,0.85,1.15,3.4200000000000004,1.0,1.5707963267948966,0.5,4,6,m4c6,0.09999999999999998,0.04999999999999982,0.8862601683709552,0.08226147524893923,8.75677549213896e-18,0.08061802118852213,6.229346310703256e-18,0.09574212269025306,8.155112999917085e-18,0.08857782967292498,2.3760444740502467e-19,0.0063163544239857455,0.00795980848440285,-0.0071642930173280855,-8.519171044733934e-18,-5.991741863298232e-18,-7.91750855251206e-18
center_d0.15|4.36000000|2|4,ok,,2026-02-20 11:19:35,0.00873209999554092,center_d0.15,centered,0.29999999999999993,0.85,1.15,4.36,1.0,1.5707963267948966,0.5,2,4,m2c4,0.29999999999999993,0.1499999999999999,0.8862601683709552,0.06266225326499172,2.3673745199876996e-18,0.07144387518812584,9.403858782762038e-18,0.13188536740485263,1.9085620985537117e-17,0.09444647366204814,3.136903959890583e-17,0.03178422039705642,0.023002598473922303,-0.037438893742804485,2.900166507891813e-17,2.196518081614379e-17,1.2283418613368712e-17
center_d0.15|4.36000000|2|5,ok,,2026-02-20 11:19:35,0.0016124000030686148,center_d0.15,centered,0.29999999999999993,0.85,1.15,4.36,1.0,1.5707963267948966,0.5,2,5,m2c5,0.29999999999999993,0.1499999999999999,0.8862601683709552,0.06266225326499172,2.3673745199876996e-18,0.07144387518812584,9.403858782762038e-18,0.13188536740485263,1.9085620985537117e-17,0.09453930542050082,5.232179573702756e-17,0.031877052155509095,0.02309543023237498,-0.03734606198435181,4.995442121703986e-17,4.291793695426552e-17,3.323617475149044e-17
center_d0.15|4.36000000|2|6,ok,,2026-02-20 11:19:35,0.0017600999999558553,center_d0.15,centered,0.29999999999999993,0.85,1.15,4.36,1.0,1.5707963267948966,0.5,2,6,m2c6,0.29999999999999993,0.1499999999999999,0.8862601683709552,0.06266225326499172,2.3673745199876996e-18,0.07144387518812584,9.403858782762038e-18,0.13188536740485263,1.9085620985537117e-17,0.09454623960016917,4.2197328290933373e-17,0.031883986335177444,0.02310236441204333,-0.03733912780468346,3.9829953770945675e-17,3.2793469508171335e-17,2.3111707305396256e-17
center_d0.15|4.36000000|3|4,ok,,2026-02-20 11:19:35,0.006909999996423721,center_d0.15,centered,0.29999999999999993,0.85,1.15,4.36,1.0,1.5707963267948966,0.5,3,4,m3c4,0.15000000000000002,0.0,0.8862601683709552,0.06266225326499172,2.3673745199876996e-18,0.07144387518812584,9.403858782762038e-18,0.10202455430744911,1.429960683794167e-17,0.07340799143615016,2.6676651716326048e-17,0.01074573817115844,0.001964116248024325,-0.028616562871298948,2.430927719633835e-17,1.727279293356401e-17,1.2377044878384377e-17
center_d0.15|4.36000000|3|5,ok,,2026-02-20 11:19:35,0.020229900001140777,center_d0.15,centered,0.29999999999999993,0.85,1.15,4.36,1.0,1.5707963267948966,0.5,3,5,m3c5,0.15000000000000002,0.0,0.8862601683709552,0.06266225326499172,2.3673745199876996e-18,0.07144387518812584,9.403858782762038e-18,0.10202455430744911,1.429960683794167e-17,0.07342687525688907,3.320951186133525e-17,0.010764621991897344,0.00198300006876323,-0.028597679050560043,3.084213734134755e-17,2.380565307857321e-17,1.8909905023393578e-17
center_d0.15|4.36000000|3|6,ok,,2026-02-20 11:19:35,0.07403689999773633,center_d0.15,centered,0.29999999999999993,0.85,1.15,4.36,1.0,1.5707963267948966,0.5,3,6,m3c6,0.15000000000000002,0.0,0.8862601683709552,0.06266225326499172,2.3673745199876996e-18,0.07144387518812584,9.403858782762038e-18,0.10202455430744911,1.429960683794167e-17,0.07342785198890897,1.9778714444765596e-17,0.010765598723917247,0.0019839768007831327,-0.02859670231854014,1.7411339924777898e-17,1.0374855662003558e-17,5.479107606823925e-18
center_d0.15|4.36000000|4|4,ok,,2026-02-20 11:19:35,0.11665869999706047,center_d0.15,centered,0.29999999999999993,0.85,1.15,4.36,1.0,1.5707963267948966,0.5,4,4,m4c4,0.09999999999999998,0.04999999999999982,0.8862601683709552,0.06266225326499172,2.3673745199876996e-18,0.07144387518812584,9.403858782762038e-18,0.09145121407832174,1.260630016364493e-17,0.06644037517533179,1.453484785970384e-17,0.0037781219103400626,-0.0050035000127940515,-0.025010838902989954,1.2167473339716139e-17,5.1309890769418e-18,1.928547696058908e-18
center_d0.15|4.36000000|4|5,ok,,2026-02-20 11:19:35,1.0234715999977197,center_d0.15,centered,0.29999999999999993,0.85,1.15,4.36,1.0,1.5707963267948966,0.5,4,5,m4c5,0.09999999999999998,0.04999999999999982,0.8862601683709552,0.06266225326499172,2.3673745199876996e-18,0.07144387518812584,9.403858782762038e-18,0.09145121407832174,1.260630016364493e-17,0.06644916009398137,1.2254561193275113e-17,0.0037869068289896474,-0.004994715094144467,-0.02500205398434037,9.887186673287413e-18,2.8507024105130742e-18,-3.5173897036981784e-19
center_d0.15|4.36000000|4|6,ok,,2026-02-20 11:19:36,7.051292000003741,center_d0.15,centered,0.29999999999999993,0.85,1.15,4.36,1.0,1.5707963267948966,0.5,4,6,m4c6,0.09999999999999998,0.04999999999999982,0.8862601683709552,0.06266225326499172,2.3673745199876996e-18,0.07144387518812584,9.403858782762038e-18,0.09145121407832174,1.260630016364493e-17,0.06644954272430996,6.87147702407908e-18,0.0037872894593182355,-0.004994332463815879,-0.02500167135401178,4.50410250409138e-18,-2.5323817586829586e-18,-5.734823139565851e-18
center_d0.15|5.30000000|2|4,ok,,2026-02-20 11:19:43,0.009882899998046923,center_d0.15,centered,0.29999999999999993,0.85,1.15,5.3,1.0,1.5707963267948966,0.5,2,4,m2c4,0.29999999999999993,0.1499999999999999,0.8862601683709552,0.05380553144378151,1.887604727578527e-18,0.08716190154928821,1.5588829896645585e-17,0.1660154228832177,3.06184908507801e-17,0.08123257341501179,3.3490698187440597e-17,0.027427041971230283,-0.005929328134276421,-0.0847828494682059,3.160309345986207e-17,1.7901868290795012e-17,2.8722073366604957e-18
center_d0.15|5.30000000|2|5,ok,,2026-02-20 11:19:43,0.0011100999981863424,center_d0.15,centered,0.29999999999999993,0.85,1.15,5.3,1.0,1.5707963267948966,0.5,2,5,m2c5,0.29999999999999993,0.1499999999999999,0.8862601683709552,0.05380553144378151,1.887604727578527e-18,0.08716190154928821,1.5588829896645585e-17,0.1660154228832177,3.06184908507801e-17,0.08128559259234586,5.4891786459213895e-17,0.02748006114856435,-0.0058763089569423554,-0.08472983029087183,5.300418173163537e-17,3.9302956562568313e-17,2.4273295608433794e-17
center_d0.15|5.30000000|2|6,ok,,2026-02-20 11:19:43,0.0017347000029985793,center_d0.15,centered,0.29999999999999993,0.85,1.15,5.3,1.0,1.5707963267948966,0.5,2,6,m2c6,0.29999999999999993,0.1499999999999999,0.8862601683709552,0.05380553144378151,1.887604727578527e-18,0.08716190154928821,1.5588829896645585e-17,0.1660154228832177,3.06184908507801e-17,0.08128843918501061,4.704229518041024e-17,0.0274829077412291,-0.005873462364277604,-0.08472698369820708,4.5154690452831715e-17,3.145346528376466e-17,1.642380432963014e-17
center_d0.15|5.30000000|3|4,ok,,2026-02-20 11:19:43,0.006496599999081809,center_d0.15,centered,0.29999999999999993,0.85,1.15,5.3,1.0,1.5707963267948966,0.5,3,4,m3c4,0.15000000000000002,0.0,0.8862601683709552,0.05380553144378151,1.887604727578527e-18,0.08716190154928821,1.5588829896645585e-17,0.12895678903517183,2.3543462341347138e-17,0.0610598779926766,3.124164111238164e-17,0.007254346548895091,-0.026102023556611613,-0.06789691104249523,2.9354036384803114e-17,1.5652811215736056e-17,7.698178771034503e-18
