key,status,error,timestamp,elapsed_s,beta,omega_q,theta,g,omega_min,omega_max,n_modes,n_cut,ordered_p00,ordered_coh,analytic_cont_p00,analytic_cont_coh,analytic_disc_p00,analytic_disc_coh,ed_p00,ed_coh,d_ed_ordered_p00,d_ed_cont_p00,d_ed_disc_p00,d_ed_ordered_coh,d_ed_cont_coh,d_ed_disc_coh
0.60000000|8,ok,,2026-02-20 11:54:53,0.5921268000020063,0.6,1.0,1.5707963267948966,0.5,0.2,1.8,3,8,0.3875258706128541,3.603038842269087e-18,0.38268212838759436,1.7976143567132074e-18,0.392896938869074,2.4455782082205422e-18,0.38562937406304615,4.2170050936145115e-19,-0.0018964965498079467,0.002947245675451793,-0.00726756480602786,-3.181338332907636e-18,-1.3759138473517562e-18,-2.023877698859091e-18
1.18750000|8,ok,,2026-02-20 11:54:54,0.5919638000050327,1.1875,1.0,1.5707963267948966,0.5,0.2,1.8,3,8,0.3306654583524356,2.2105796893250305e-17,0.3133858716823269,5.563158376707611e-18,0.3372932208935022,7.232366771025638e-18,0.33813689947889675,1.3804385877310996e-17,0.0074714411264611424,0.024751027796569847,0.000843678585394525,-8.30141101593931e-18,8.241227500603385e-18,6.572019106285358e-18
1.77500000|8,ok,,2026-02-20 11:54:55,0.5904953999997815,1.775,1.0,1.5707963267948966,0.5,0.2,1.8,3,8,0.3012130823410807,4.694839690666928e-18,0.27198411074647777,1.019799248475258e-17,0.3065770987233778,1.2974994169727008e-17,0.32142865914297486,3.3897328534601086e-17,0.020215576801894175,0.04944454839649709,0.014851560419597065,2.920248884393416e-17,2.3699336049848508e-17,2.0922334364874078e-17
2.36250000|8,ok,,2026-02-20 11:54:55,0.5944340000060038,2.3625000000000003,1.0,1.5707963267948966,0.5,0.2,1.8,3,8,0.2846037740205399,4.207378073791339e-19,0.24959719854383494,1.5447894505341032e-17,0.29169450825995685,1.943008756026302e-17,0.3163361947294725,4.921757388245776e-17,0.03173242070893262,0.06673899618563756,0.024641686469515645,4.8796836075078626e-17,3.3769679377116724e-17,2.9787486322194734e-17
2.95000000|8,ok,,2026-02-20 11:54:56,0.6314392999993288,2.95,1.0,1.5707963267948966,0.5,0.2,1.8,3,8,0.27391922987787504,3.8294474375687935e-18,0.2415027821319609,2.1465649099527434e-17,0.28831913595556735,2.673237704652343e-17,0.3152541072372404,5.985929088048079e-17,0.04133487735936536,0.07375132510527949,0.026934971281673048,5.6029843442912e-17,3.839364178095336e-17,3.3126913833957366e-17
3.53750000|8,ok,,2026-02-20 11:54:57,0.5879159999967669,3.5375,1.0,1.5707963267948966,0.5,0.2,1.8,3,8,0.26608627215108943,7.565983560414363e-18,0.2448139194303957,2.8553159109865595e-17,0.2935739135808109,3.507580221628434e-17,0.31553808640795394,6.797550868019879e-17,0.04945181425686451,0.07072416697755823,0.021964172827143025,6.040952511978443e-17,3.94223495703332e-17,3.2899706463914456e-17
4.12500000|8,ok,,2026-02-20 11:54:57,0.5839077999989968,4.125,1.0,1.5707963267948966,0.5,0.2,1.8,3,8,0.2597662095174385,2.2591978025036506e-17,0.25707834514691663,3.693922891113898e-17,0.30477429023409697,4.4505353815051664e-17,0.3162754997550891,7.472225969221997e-17,0.05650929023765061,0.059197154608172486,0.01150120952099215,5.2130281667183464e-17,3.7783030781080996e-17,3.021690587716831e-17
4.71250000|8,ok,,2026-02-20 11:54:58,0.5886635999995633,4.7124999999999995,1.0,1.5707963267948966,0.5,0.2,1.8,3,8,0.2543821579298529,1.1333744021593488e-17,0.2754459989241644,4.6558886939786726e-17,0.3190808949313224,5.478555507720957e-17,0.3171420917989451,8.052032035680945e-17,0.06275993386909218,0.04169609287478071,-0.0019388031323773203,6.918657633521596e-17,3.396143341702272e-17,2.5734765279599878e-17
5.30000000|8,ok,,2026-02-20 11:54:58,0.5883239000031608,5.3,1.0,1.5707963267948966,0.5,0.2,1.8,3,8,0.24969217937213253,1.0913138626251826e-18,0.29650300800909635,5.692494534621827e-17,0.3337221877102433,6.53978484965795e-17,0.31801965897200185,8.550928841116722e-17,0.06832747959986932,0.021516650962905504,-0.01570252873824146,8.441797454854203e-17,2.8584343064948945e-17,2.011143991458772e-17
5.88750000|8,ok,,2026-02-20 11:54:59,0.5865035000024363,5.8875,1.0,1.5707963267948966,0.5,0.2,1.8,3,8,0.24560148416207422,2.608647115197329e-18,0.3168144995422377,6.721655346853571e-17,0.34646431850002324,7.568033643828946e-17,0.318865081899519,8.976047442175288e-17,0.07326359773744479,0.002050582357281283,-0.02759923660050423,8.715182730655555e-17,2.2543920953217168e-17,1.4080137983463426e-17
6.47500000|8,ok,,2026-02-20 11:54:59,0.5931073999963701,6.475,1.0,1.5707963267948966,0.5,0.2,1.8,3,8,0.24207787204250775,1.1606821266487056e-17,0.3337484465229323,7.656447625106973e-17,0.3559538343514629,8.502777052925456e-17,0.31966341596938264,9.334250014945227e-17,0.07758554392687489,-0.014085030553549649,-0.03629041838208025,8.173567888296522e-17,1.677802389838254e-17,8.314729620197708e-18
7.06250000|8,ok,,2026-02-20 11:55:00,0.6031703999979072,7.0625,1.0,1.5707963267948966,0.5,0.2,1.8,3,8,0.2391126574187376,1.6734514059132634e-17,0.34595501107740967,8.433995790324362e-17,0.36173656291833123,9.303667383421671e-17,0.3204104231322416,9.633065985726958e-17,0.081297765713504,-0.025544587945168062,-0.04132613978608962,7.959614579813695e-17,1.1990701954025961e-17,3.2939860230528748e-18
7.65000000|8,ok,,2026-02-20 11:55:01,0.6122768000059295,7.65,1.0,1.5707963267948966,0.5,0.2,1.8,3,8,0.23670240231167153,2.862468064540775e-17,0.35327144032212215,9.027726488953595e-17,0.3640209913618967,9.954257147912145e-17,0.3211059279309863,9.880174818092509e-17,0.08440352561931477,-0.03216551239113585,-0.042915063430910394,7.017706753551734e-17,8.524483291389138e-18,-7.408232981963596e-19
