beta,omega_q,theta,g,omega_min,omega_max,n_modes,n_cut,ordered_p00,ordered_coh,analytic_cont_p00,analytic_cont_coh,analytic_disc_p00,analytic_disc_coh,ed_p00,ed_coh,d_ed_ordered_p00,d_ed_cont_p00,d_ed_disc_p00,d_ed_ordered_coh,d_ed_cont_coh,d_ed_disc_coh
2.3625000000000003,1.0,1.5707963267948966,0.5,0.2,1.8,2,5,0.2846037740205399,4.207378073791339e-19,0.24959719854383494,1.5447894505341032e-17,0.3232114615140754,2.2415500917728458e-17,0.3195747282860216,4.4232636543228997e-17,0.034970954265481746,0.06997752974218668,-0.003636733228053801,4.3811898735849863e-17,2.878474203788796e-17,2.181713562550054e-17
2.95,1.0,1.5707963267948966,0.5,0.2,1.8,2,5,0.27391922987787504,3.8294474375687935e-18,0.2415027821319609,2.1465649099527434e-17,0.3219301584326498,3.0533677659436564e-17,0.322201122182229,4.795205653762704e-17,0.04828189230435398,0.0806983400502681,0.00027096374957918945,4.412260910005824e-17,2.6486407438099604e-17,1.7418378878190474e-17
3.5375,1.0,1.5707963267948966,0.5,0.2,1.8,2,5,0.26608627215108943,7.565983560414363e-18,0.2448139194303957,2.8553159109865595e-17,0.3270425592881051,3.9623598235421264e-17,0.32572888872484035,4.844232793502588e-17,0.05964261657375092,0.08091496929444464,-0.0013136705632647572,4.0876344374611514e-17,1.9889168825160285e-17,8.818729699604616e-18
4.125,1.0,1.5707963267948966,0.5,0.2,1.8,2,5,0.2597662095174385,2.2591978025036506e-17,0.25707834514691663,3.693922891113898e-17,0.3359939619308407,4.965072772104989e-17,0.3291946844818254,4.709105709717365e-17,0.06942847496438687,0.07211633933490874,-0.006799277449015317,2.4499079072137144e-17,1.0151828186034673e-17,-2.5596706238762394e-18
4.7124999999999995,1.0,1.5707963267948966,0.5,0.2,1.8,2,5,0.2543821579298529,1.1333744021593488e-17,0.2754459989241644,4.6558886939786726e-17,0.3463441230417898,6.035847416173932e-17,0.33229754335684064,4.4784799791418665e-17,0.07791538542698773,0.05685154443267626,-0.014046579684949156,3.3451055769825175e-17,-1.7740871483680614e-18,-1.5573674370320653e-17
5.3,1.0,1.5707963267948966,0.5,0.2,1.8,2,5,0.24969217937213253,1.0913138626251826e-18,0.29650300800909635,5.692494534621827e-17,0.3560365925599832,7.130750267756225e-17,0.3349664945362081,4.208076243876358e-17,0.08527431516407555,0.038463486527111734,-0.02107009802377513,4.098944857613839e-17,-1.4844182907454697e-17,-2.922674023879867e-17
5.8875,1.0,1.5707963267948966,0.5,0.2,1.8,2,5,0.24560148416207422,2.608647115197329e-18,0.3168144995422377,6.721655346853571e-17,0.3636602259030667,8.198974725718475e-17,0.3372144211559268,3.932954985180374e-17,0.09161293699385259,0.020399921613689087,-0.026445804747139867,3.672090273660641e-17,-2.7887003616731976e-17,-4.2660197405381016e-17
6.475,1.0,1.5707963267948966,0.5,0.2,1.8,2,5,0.24207787204250775,1.1606821266487056e-17,0.3337484465229323,7.656447625106973e-17,0.3685205969512779,9.195201266510225e-17,0.3390841493755078,3.674811450314171e-17,0.09700627733300005,0.005335702852575508,-0.02943644757577013,2.5141293236654653e-17,-3.9816361747928025e-17,-5.5203898161960546e-17
7.0625,1.0,1.5707963267948966,0.5,0.2,1.8,2,5,0.2391126574187376,1.6734514059132634e-17,0.34595501107740967,8.433995790324362e-17,0.3705186530777369,1.0087435641705716e-16,0.3406267686202564,3.4463844244303603e-17,0.10151411120151882,-0.005328242457153243,-0.029891884457480478,1.772933018517097e-17,-4.9876113658940017e-17,-6.641051217275356e-17
7.65,1.0,1.5707963267948966,0.5,0.2,1.8,2,5,0.23670240231167153,2.862468064540775e-17,0.35327144032212215,9.027726488953595e-17,0.3699378232433306,1.0858880478515729e-16,0.3418925138435751,3.254319728408187e-17,0.10519011153190358,-0.011378926478547047,-0.02804530939975547,3.918516638674122e-18,-5.773406760545407e-17,-7.604560750107541e-17
