sweep,param_name,param,beta,theta,g,ed_p00,ed_p11,ed_coh,analytic_disc_p00,analytic_disc_p11,analytic_disc_coh,analytic_cont_p00,analytic_cont_p11,analytic_cont_coh,d_disc_p00,d_disc_coh,d_cont_p00,d_cont_coh
coupling,g,1.0,2.0,0.7853981633974483,1.0,0.24276340119822762,0.7572365988017721,0.1667386508846171,0.24626136538571436,0.7537386346142856,0.17612745070189909,0.27452192605131454,0.7254780739486855,0.2163755072589968,-0.0034979641874867407,-0.009388799817281995,-0.03175852485308692,-0.0496368563743797
coupling,g,1.1,2.0,0.7853981633974483,1.1,0.25041926670766684,0.7495807332923331,0.17641234870647102,0.25622858167430956,0.7437714183256905,0.18994393033939241,0.2820990736245318,0.7179009263754682,0.22693126094785618,-0.00580931496664272,-0.013531581632921397,-0.03167980691686495,-0.05051891224138516
coupling,g,1.2000000000000002,2.0,0.7853981633974483,1.2000000000000002,0.25625309762041815,0.7437469023795815,0.18363203358956295,0.26476260363411086,0.7352373963658891,0.20177372686627515,0.2882761437277435,0.7117238562722565,0.235536561279975,-0.008509506013692714,-0.018141693276712195,-0.03202304610732537,-0.05190452769041204
coupling,g,1.3,2.0,0.7853981633974483,1.3,0.2606507644318656,0.7393492355681346,0.18895700205762153,0.27205498789656224,0.7279450121034378,0.21188237463247475,0.29334804905334677,0.7066519509466532,0.24260225227159835,-0.011404223464696661,-0.02292537257485322,-0.03269728462148119,-0.053645250213976814
coupling,g,1.4000000000000001,2.0,0.7853981633974483,1.4000000000000001,0.263967310896531,0.736032689103469,0.19288663380182272,0.27829017343046947,0.7217098265695305,0.22052554153794213,0.29754567924651987,0.7024543207534801,0.24844998718343678,-0.01432286253393844,-0.027638907736119406,-0.03357836834998884,-0.055563353381614056
coupling,g,1.5,2.0,0.7853981633974483,1.5,0.26649316989748967,0.7335068301025109,0.19581871675979726,0.2836336844099888,0.7163663155900112,0.22793267593771702,0.30104806873756396,0.698951931262436,0.25332917957512113,-0.01714051451249915,-0.03211395917791976,-0.03455489884007429,-0.057510462815323876
coupling,g,1.6,2.0,0.7853981633974483,1.6,0.2684486409540612,0.7315513590459389,0.19804734824225745,0.2882284279224532,0.7117715720775468,0.2343018745525908,0.30399380378340995,0.69600619621659,0.257432894498993,-0.019779786968392,-0.03625452631033335,-0.035545162829348775,-0.05938554625673553
coupling,g,1.7000000000000002,2.0,0.7853981633974483,1.7000000000000002,0.26999310253854303,0.730006897461457,0.19978000453232556,0.2921950947092853,0.7078049052907147,0.2398004379731214,0.30649045298056954,0.6935095470194305,0.260910986184294,-0.022201992170742257,-0.04002043344079584,-0.03649735044202651,-0.061130981651968425
coupling,g,1.8,2.0,0.7853981633974483,1.8,0.2712388738789926,0.7287611261210072,0.20115936541737742,0.2956343643321433,0.7043656356678567,0.24456792744422265,0.30862194635189477,0.6913780536481052,0.26388037787156615,-0.024395490453150703,-0.04340856202684523,-0.03738307247290218,-0.06272101245418873
coupling,g,1.9000000000000001,2.0,0.7853981633974483,1.9000000000000001,0.27226430832489534,0.7277356916751048,0.20228268228332985,0.2986296928404433,0.7013703071595567,0.248720029108745,0.31045420211890806,0.6895457978810919,0.26643290049102086,-0.02636538451554793,-0.04643734682541514,-0.03818989379401272,-0.06415021820769101
coupling,g,2.0,2.0,0.7853981633974483,2.0,0.2731241540464424,0.7268758459535576,0.20321647614672111,0.30125008565384803,0.698749914346152,0.2523523977561543,0.3120393689282144,0.6879606310717856,0.26864120252461704,-0.02812593160740562,-0.0491359216094332,-0.038915214881771965,-0.06542472637789593
coupling,g,2.1,2.0,0.7853981633974483,2.1,0.27385704145022544,0.7261429585497746,0.20400680239797297,0.30355259809855206,0.6964474019014479,0.2555441230469687,0.31341901324486343,0.6865809867551366,0.27056319037612175,-0.029695556648326626,-0.051537320648995744,-0.039561971794637996,-0.06655638797814878
