sweep,param_name,param,beta,theta,g,ord_p00,ord_p11,ord_coh,legacy_p00,legacy_p11,legacy_coh,running_p00,running_p11,running_coh,legacy_delta_p00,legacy_delta_coh,running_delta_p00,running_delta_coh,legacy_chi,running_chi_raw,running_chi_eff,running_factor
coupling,g,0.8620689655172414,2.0,0.7853981633974483,0.8620689655172414,0.27106674196778335,0.7289332580322165,0.20071109754036562,0.4459214277278545,0.5540785722721455,0.45473726995040753,0.29424843005885126,0.7057515699411487,0.24363393885438142,0.17485468576007113,0.2540261724100419,0.02318168809106791,0.0429228413140158,1.9329207481946704,8.040950312489828,0.8416139752191731,0.1046659838093904
coupling,g,0.9482758620689655,2.0,0.7853981633974483,0.9482758620689655,0.2726734050277959,0.727326594972204,0.2024819642372236,0.46322941667527506,0.5367705833247249,0.47882708275510544,0.29766721111052313,0.7023327888894769,0.24839230770966642,0.19055601164747915,0.27634511851788185,0.02499380608272722,0.04591034347244283,2.338834105315551,9.72954987811269,0.8571848850144466,0.08810118615484407
coupling,g,1.0344827586206897,2.0,0.7853981633974483,1.0344827586206897,0.273999801154317,0.726000198845683,0.20392969591784024,0.4718672293421223,0.5281327706578778,0.49084946680090813,0.30033760163871764,0.6996623983612823,0.25210904268881784,0.19786742818780528,0.28691977088306786,0.026337800484400653,0.0481793467709776,2.7834058774003254,11.578968449985355,0.8694191048144199,0.07508605870806388
coupling,g,1.120689655172414,2.0,0.7853981633974483,1.120689655172414,0.2751166469937442,0.7248833530062558,0.20513938929768932,0.47570679898559237,0.5242932010144076,0.4961935026818404,0.30245866013732225,0.6975413398626779,0.25506119977271835,0.20059015199184815,0.2910541133841511,0.027342013143578037,0.04992181047502903,3.266636064448993,13.58920602810781,0.8791845639541066,0.06469727238924834
coupling,g,1.206896551724138,2.0,0.7853981633974483,1.206896551724138,0.27607052528447096,0.7239294747155292,0.20616611104445873,0.47725239362636396,0.5227476063736362,0.4983447107558254,0.3041687988877559,0.6958312011122441,0.2574414256032963,0.201181868341893,0.2921785997113667,0.02809827360328493,0.051275314558837576,3.788524666461553,15.76026261248006,0.8870906523745508,0.05628654002707362
coupling,g,1.293103448275862,2.0,0.7853981633974483,1.293103448275862,0.2768941686222997,0.7231058313777003,0.20704798765742377,0.4778212648556881,0.522178735144312,0.499136483934444,0.30556617942347986,0.69443382057652,0.25938634454360654,0.2009270962333884,0.2920884962770202,0.028672010801180148,0.05233835688618277,4.349071683438008,18.09213820310211,0.8935732669356099,0.04939014155786165
coupling,g,1.3793103448275863,2.0,0.7853981633974483,1.3793103448275863,0.27761166627030376,0.7223883337296961,0.20781273827243407,0.4780136626259957,0.5219863373740042,0.49940426930713117,0.3067217312361563,0.6932782687638436,0.2609946785296098,0.20040199635569195,0.2915915310346971,0.029110064965852556,0.05318194025717571,4.948277115378356,20.584832799973963,0.8989497392053577,0.04367049020706618
coupling,g,1.4655172413793105,2.0,0.7853981633974483,1.4655172413793105,0.2782413385673328,0.7217586614326672,0.20848123056111037,0.4780736024277918,0.5219263975722083,0.4994876954411094,0.30768760510044496,0.6923123948995551,0.26233901267809734,0.199832263860459,0.29100646487999904,0.029446266533112164,0.05385778211698697,5.586140962282597,23.23834640309561,0.9034549036038761,0.03887776212353586
coupling,g,1.5517241379310347,2.0,0.7853981633974483,1.5517241379310347,0.278797456634147,0.721202543365853,0.20906957977320906,0.47809082460154034,0.5219091753984596,0.49951166581357453,0.30850276384140807,0.6914972361585919,0.2634735766956483,0.19929336796739333,0.2904420860403655,0.029705307207261056,0.054403996922439246,6.262663224150733,26.05267901246705,0.9072651981082761,0.034824257331621075
coupling,g,1.6379310344827587,2.0,0.7853981633974483,1.6379310344827587,0.2792913429329339,0.7207086570670661,0.20959047554401503,0.4780953913528755,0.5219046086471246,0.499518021964201,0.30919674841025124,0.6908032515897488,0.26443948662334543,0.1988040484199416,0.2899275464201859,0.02990540547731735,0.054849011079330406,6.9778439009827595,29.027830628088278,0.9105150495888141,0.03136696852253816
