case,n_modes,n_cut,beta,g,theta,omega_q,omega_min,omega_max,window_ratio_min,window_ratio_max,detune_abs,detune_over_omega_q,detune_over_dw,dw,tail_fraction,ordered_p00,ordered_coh,best_p00,best_coh,ed_p00,ed_coh,d_ed_ord_p00,d_ed_best_p00,d_ed_ord_coh,d_ed_best_coh
m3c5,3,5,10.0,0.5,1.5707963267948966,2.0,0.1,3.0,0.05,1.5,0.44999999999999996,0.22499999999999998,0.31034482758620685,1.45,0.5578254003710745,0.21659455135920422,1.0777324643599352e-17,0.23147385426748135,9.210526725181479e-17,0.2017909680854025,3.726934445035713e-16,-0.014803583273801713,-0.029682886182078844,3.6191611985997194e-16,2.805881772517565e-16
m3c5,3,5,0.6,0.5,1.5707963267948966,2.0,0.1,4.0,0.05,2.0,0.04999999999999982,0.02499999999999991,0.025641025641025553,1.9499999999999997,0.4060058497098381,0.3162544916095655,1.0658768971684638e-18,0.302071811530148,4.942046216458292e-18,0.28777050264896026,4.4359556438677475e-18,-0.028483988960605222,-0.014301308881187746,3.3700787466992837e-18,-5.060905725905444e-19
m3c5,3,5,1.54,0.5,1.5707963267948966,2.0,0.1,4.0,0.05,2.0,0.04999999999999982,0.02499999999999991,0.025641025641025553,1.9499999999999997,0.4060058497098381,0.24537181624636514,1.6453417933594635e-17,0.22156012491576477,2.0702573732307327e-17,0.20140318702955531,4.184530737262463e-17,-0.04396862921680983,-0.020156937886209453,2.5391889439029997e-17,2.1142733640317304e-17
m3c5,3,5,2.48,0.5,1.5707963267948966,2.0,0.1,4.0,0.05,2.0,0.04999999999999982,0.02499999999999991,0.025641025641025553,1.9499999999999997,0.4060058497098381,0.22559000151375388,7.256344648150789e-18,0.2656461365803796,4.8535389873291454e-17,0.19172648592657726,9.865113110298356e-17,-0.033863515587176624,-0.07391965065380235,9.139478645483277e-17,5.0115741229692105e-17
m3c5,3,5,3.4200000000000004,0.5,1.5707963267948966,2.0,0.1,4.0,0.05,2.0,0.04999999999999982,0.02499999999999991,0.025641025641025553,1.9499999999999997,0.4060058497098381,0.21559724895433696,2.776775330813918e-18,0.33164221077249223,8.402366385365031e-17,0.19448827028397167,1.5468759759550206e-16,-0.02110897867036529,-0.13715394048852056,1.5191082226468813e-16,7.066393374185175e-17
m3c5,3,5,4.36,0.5,1.5707963267948966,2.0,0.1,4.0,0.05,2.0,0.04999999999999982,0.02499999999999991,0.025641025641025553,1.9499999999999997,0.4060058497098381,0.2102649733901927,2.592009264440348e-18,0.3525696442152483,1.059111960991737e-16,0.1992105754653234,2.1445729503815664e-16,-0.011054397924869314,-0.1533590687499249,2.118652857737163e-16,1.0854609893898294e-16
m3c5,3,5,5.3,0.5,1.5707963267948966,2.0,0.1,4.0,0.05,2.0,0.04999999999999982,0.02499999999999991,0.025641025641025553,1.9499999999999997,0.4060058497098381,0.2084168274178583,1.281812450664409e-17,0.34150121368814934,1.1245837565964902e-16,0.2038060497221651,2.7902060018489183e-16,-0.004610777695693208,-0.13769516396598425,2.6620247567824773e-16,1.665622245252428e-16
m3c5,3,5,6.24,0.5,1.5707963267948966,2.0,0.1,4.0,0.05,2.0,0.04999999999999982,0.02499999999999991,0.025641025641025553,1.9499999999999997,0.4060058497098381,0.20934945173230385,6.93416359669037e-18,0.3200924076006044,1.1114888910560695e-16,0.20782136651846972,3.476969005819436e-16,-0.0015280852138341294,-0.1122710410821347,3.407627369852532e-16,2.3654801147633665e-16
m3c5,3,5,7.18,0.5,1.5707963267948966,2.0,0.1,4.0,0.05,2.0,0.04999999999999982,0.02499999999999991,0.025641025641025553,1.9499999999999997,0.4060058497098381,0.2124473849138292,3.477686262622444e-18,0.2968084472608131,1.0652061170464786e-16,0.21120309996851963,4.1938365988948306e-16,-0.001244284945309565,-0.0856053472922935,4.159059736268606e-16,3.128630481848352e-16
m3c5,3,5,8.120000000000001,0.5,1.5707963267948966,2.0,0.1,4.0,0.05,2.0,0.04999999999999982,0.02499999999999991,0.025641025641025553,1.9499999999999997,0.4060058497098381,0.21704189299923746,2.1747740883389697e-17,0.2739671574589394,1.0049649847604993e-16,0.21400466554924952,4.930335574286225e-16,-0.0030372274499879393,-0.059962491909689886,4.712858165452327e-16,3.925370589525726e-16
m3c5,3,5,9.06,0.5,1.5707963267948966,2.0,0.1,4.0,0.05,2.0,0.04999999999999982,0.02499999999999991,0.025641025641025553,1.9499999999999997,0.4060058497098381,0.2215405464982831,1.0249198075909779e-17,0.2521391262182562,9.39074018359831e-17,0.21630478971216754,5.67795265013296e-16,-0.005235756786115542,-0.03583433650608864,5.575460669373863e-16,4.738878631773129e-16
m3c5,3,5,10.0,0.5,1.5707963267948966,2.0,0.1,4.0,0.05,2.0,0.04999999999999982,0.02499999999999991,0.025641025641025553,1.9499999999999997,0.4060058497098381,0.24202063758847586,2.731350191863745e-18,0.2314740187724127,8.716371896520798e-17,0.21818260823227179,6.430305771086113e-16,-0.023838029356204077,-0.013291410540140908,6.402992269167475e-16,5.558668581434033e-16
m3c5,3,5,0.6,0.5,1.5707963267948966,2.0,0.1,5.0,0.05,2.5,0.5500000000000003,0.27500000000000013,0.22448979591836743,2.45,0.2872974951836458,0.32063946043296887,1.4060526883077053e-17,0.3053502358357043,5.1712567592004565e-18,0.28692181656489635,3.916656058146374e-18,-0.03371764386807252,-0.01842841927080796,-1.0143870824930679e-17,-1.2546007010540823e-18
m3c5,3,5,1.54,0.5,1.5707963267948966,2.0,0.1,5.0,0.05,2.5,0.5500000000000003,0.27500000000000013,0.22448979591836743,2.45,0.2872974951836458,0.2538483762824807,1.1967780347196827e-17,0.2276050014380529,2.1369220629854867e-17,0.2017512044098026,3.4300182463623425e-17,-0.052097171872678094,-0.025853797028250303,2.23324021164266e-17,1.2930961833768558e-17
m3c5,3,5,2.48,0.5,1.5707963267948966,2.0,0.1,5.0,0.05,2.5,0.5500000000000003,0.27500000000000013,0.22448979591836743,2.45,0.2872974951836458,0.23484816585442722,1.2720069427981626e-19,0.27165449363120303,4.9305105689325617e-17,0.19527482886613762,7.469571116950447e-17,-0.039573336988289604,-0.07637966476506541,7.456851047522466e-17,2.539060548017885e-17
m3c5,3,5,3.4200000000000004,0.5,1.5707963267948966,2.0,0.1,5.0,0.05,2.5,0.5500000000000003,0.27500000000000013,0.22448979591836743,2.45,0.2872974951836458,0.22506398396690966,1.490505482050891e-17,0.33498236585108154,8.36915219565932e-17,0.200415431072628,1.3202509569023036e-16,-0.024648552894281667,-0.13456693477845355,1.1712004086972145e-16,4.833357373363716e-17
m3c5,3,5,4.36,0.5,1.5707963267948966,2.0,0.1,5.0,0.05,2.5,0.5500000000000003,0.27500000000000013,0.22448979591836743,2.45,0.2872974951836458,0.21991673577740603,2.193747837418422e-18,0.35367953010923536,1.042321888958321e-16,0.20665095572524753,2.0435221570641082e-16,-0.013265780052158505,-0.14702857438398784,2.021584678689924e-16,1.0012002681057872e-16
