delta,bandwidth,omega_min,omega_max,beta,omega_q,theta,g,n_modes,n_cut,dw,detune_over_omega_q,tail_fraction,ordered_p00,ordered_coh,best_p00,best_coh,ed_p00,ed_coh,d_ed_ord_p00,d_ed_best_p00,d_ed_ord_coh,d_ed_best_coh
0.4,0.7999999999999998,1.6,2.4,4.36,2.0,1.5707963267948966,0.5,3,4,0.3999999999999999,0.0,0.6626272662068448,0.042084148263924384,3.537983233155244e-19,0.27845907904294265,6.727561429900431e-17,0.037841429506845596,2.4219771631515848e-17,-0.004242718757078788,-0.24061764953609704,2.3865973308200324e-17,-4.305584266748847e-17
0.4,0.7999999999999998,1.6,2.4,5.3,2.0,1.5707963267948966,0.5,3,4,0.3999999999999999,0.0,0.6626272662068448,0.04557185651903377,8.681545642754408e-18,0.32325145839292047,7.978041610329729e-17,0.03659890268860912,2.438408385445073e-17,-0.008972953830424651,-0.28665255570431136,1.5702538211696322e-17,-5.5396332248846556e-17
0.4,0.7999999999999998,1.6,2.4,6.24,2.0,1.5707963267948966,0.5,3,4,0.3999999999999999,0.0,0.6626272662068448,0.04948345070259856,6.620228038046287e-18,0.3162964833979278,7.846521913237472e-17,0.03619465109275401,2.4445102933043085e-17,-0.013288799609844554,-0.2801018323051738,1.7824874894996798e-17,-5.402011619933163e-17
0.4,0.7999999999999998,1.6,2.4,7.18,2.0,1.5707963267948966,0.5,3,4,0.3999999999999999,0.0,0.6626272662068448,0.05344221615743915,3.083945181508485e-18,0.29607372019439737,7.353418025852586e-17,0.03606247458069848,2.446644620014922e-17,-0.017379741576740673,-0.26001124561369887,2.1382501018640733e-17,-4.906773405837664e-17
0.4,0.7999999999999998,1.6,2.4,8.120000000000001,2.0,1.5707963267948966,0.5,3,4,0.3999999999999999,0.0,0.6626272662068448,0.05740414041821105,3.4544035945622448e-18,0.27383095435704796,6.802764349962687e-17,0.036019147203299615,2.447369917078017e-17,-0.021384993214911434,-0.23781180715374833,2.1019295576217924e-17,-4.3553944328846705e-17
0.4,0.7999999999999998,1.6,2.4,9.06,2.0,1.5707963267948966,0.5,3,4,0.3999999999999999,0.0,0.6626272662068448,0.06134643503265152,1.7004399569352323e-18,0.2521146694792856,6.263669627114603e-17,0.036004924805991274,2.4476127345785203e-17,-0.025341510226660244,-0.21610974467329436,2.277568738884997e-17,-3.816056892536083e-17
0.4,0.7999999999999998,1.6,2.4,10.0,2.0,1.5707963267948966,0.5,3,4,0.3999999999999999,0.0,0.6626272662068448,0.06820772415892183,1.4513716253443732e-17,0.23146973883424138,5.750888801884025e-17,0.03600025263903179,2.447693375601758e-17,-0.03220747151989004,-0.1954694861952096,9.963217502573846e-18,-3.303195426282267e-17
0.4,0.7999999999999998,1.6,2.4,0.6,2.0,1.5707963267948966,0.5,3,5,0.3999999999999999,0.0,0.6626272662068448,0.24934866701425557,5.0894176277840774e-18,0.24755339735467885,1.1254667743147993e-18,0.2543940000442921,3.410340564574232e-17,0.005045333030036514,0.006840602689613229,2.901398801795824e-17,3.297793887142752e-17
0.4,0.7999999999999998,1.6,2.4,1.54,2.0,1.5707963267948966,0.5,3,5,0.3999999999999999,0.0,0.6626272662068448,0.08471648500792962,8.623026076703876e-19,0.08177613817750856,4.387912541467788e-18,0.09647998203606233,3.14763797779359e-17,0.011763497028132702,0.014703843858553764,3.0614077170265514e-17,2.7088467236468114e-17
0.4,0.7999999999999998,1.6,2.4,2.48,2.0,1.5707963267948966,0.5,3,5,0.3999999999999999,0.0,0.6626272662068448,0.046887491493971444,3.5971370633753475e-18,0.06284855093596498,1.005115419394439e-17,0.05405411299822649,2.3445323162983617e-17,0.0071666215042550455,-0.008794437937738486,1.984818609960827e-17,1.3394168969039227e-17
0.4,0.7999999999999998,1.6,2.4,3.4200000000000004,2.0,1.5707963267948966,0.5,3,5,0.3999999999999999,0.0,0.6626272662068448,0.04057076984801217,8.279001369335997e-18,0.14657060154158313,3.2606257421523486e-17,0.04170503915315803,2.3944376176877816e-17,0.0011342693051458602,-0.10486556238842511,1.566537480754182e-17,-8.66188124464567e-18
0.4,0.7999999999999998,1.6,2.4,4.36,2.0,1.5707963267948966,0.5,3,5,0.3999999999999999,0.0,0.6626272662068448,0.042084148263924384,3.537983233155244e-19,0.27845907904294265,6.727561429900431e-17,0.03784272654120511,2.4812389378167037e-17,-0.0042414217227192755,-0.24061635250173755,2.4458591054851514e-17,-4.246322492083728e-17
0.4,0.7999999999999998,1.6,2.4,5.3,2.0,1.5707963267948966,0.5,3,5,0.3999999999999999,0.0,0.6626272662068448,0.04557185651903377,8.681545642754408e-18,0.32325145839292047,7.978041610329729e-17,0.03659992140854465,2.5217878136042718e-17,-0.008971935110489118,-0.28665153698437584,1.653633249328831e-17,-5.456253796725457e-17
0.4,0.7999999999999998,1.6,2.4,6.24,2.0,1.5707963267948966,0.5,3,5,0.3999999999999999,0.0,0.6626272662068448,0.04948345070259856,6.620228038046287e-18,0.3162964833979278,7.846521913237472e-17,0.03619557355093944,2.5371285166281284e-17,-0.01328787715165912,-0.2801009098469884,1.8751057128234997e-17,-5.309393396609343e-17
0.4,0.7999999999999998,1.6,2.4,7.18,2.0,1.5707963267948966,0.5,3,5,0.3999999999999999,0.0,0.6626272662068448,0.05344221615743915,3.083945181508485e-18,0.29607372019439737,7.353418025852586e-17,0.03606336064271879,2.5425149495644935e-17,-0.017378855514720362,-0.26001035955167856,2.234120431413645e-17,-4.8109030762880926e-17
0.4,0.7999999999999998,1.6,2.4,8.120000000000001,2.0,1.5707963267948966,0.5,3,5,0.3999999999999999,0.0,0.6626272662068448,0.05740414041821105,3.4544035945622448e-18,0.27383095435704796,6.802764349962687e-17,0.036020019318056574,2.544345724743599e-17,-0.021384121100154474,-0.2378109350389914,2.1989053652873746e-17,-4.258418625219088e-17
0.4,0.7999999999999998,1.6,2.4,9.06,2.0,1.5707963267948966,0.5,3,5,0.3999999999999999,0.0,0.6626272662068448,0.06134643503265152,1.7004399569352323e-18,0.2521146694792856,6.263669627114603e-17,0.03600579162243721,2.544958298297212e-17,-0.02534064341021431,-0.2161088778568484,2.374914302603689e-17,-3.718711328817391e-17
0.4,0.7999999999999998,1.6,2.4,10.0,2.0,1.5707963267948966,0.5,3,5,0.3999999999999999,0.0,0.6626272662068448,0.06820772415892183,1.4513716253443732e-17,0.23146973883424138,5.750888801884025e-17,0.03600111746932455,2.5451616288834184e-17,-0.03220660668959728,-0.19546862136491683,1.0937900035390452e-17,-3.2057271730006067e-17
0.4,0.7999999999999998,1.6,2.4,0.6,2.0,1.5707963267948966,0.5,3,6,0.3999999999999999,0.0,0.6626272662068448,0.24934866701425557,5.0894176277840774e-18,0.24755339735467885,1.1254667743147993e-18,0.2549518675719817,2.4592274733510773e-18,0.005603200557726118,0.007398470217302833,-2.630190154433e-18,1.333760699036278e-18
0.4,0.7999999999999998,1.6,2.4,1.54,2.0,1.5707963267948966,0.5,3,6,0.3999999999999999,0.0,0.6626272662068448,0.08471648500792962,8.623026076703876e-19,0.08177613817750856,4.387912541467788e-18,0.0964938162411503,4.166850290122269e-19,0.011777331233220681,0.014717678063641743,-4.4561757865816065e-19,-3.971227512455561e-18
