g,variant,ordered_p00,ordered_coh,ordered_ratio,model_p00,model_coh,model_ratio,dp00,dcoh,ratio_over_ordered
1.3,minus_signflip,0.16101317158252257,0.2851984734313641,0.19191382525781783,0.002132222664117722,0.0385012912585461,0.0021367787522013713,-0.15888094891840485,-0.24669718217281802,0.011134053262347378
1.3,plus_const_k,0.16101317158252257,0.2851984734313641,0.19191382525781783,0.13656572802960282,0.2868306378386833,0.15816574864228342,-0.02444744355291975,0.00163216440731917,0.8241498413665763
1.3,plus_extra_g2,0.16101317158252257,0.2851984734313641,0.19191382525781783,0.32204023830107753,0.43519100946073014,0.4750137935827724,0.16102706671855496,0.14999253602936602,2.4751410845187256
1.4000000000000001,plus_baseline,0.162999041883211,0.28771552436849174,0.19474176260198175,0.1366781637281545,0.2882425345816383,0.1583165836721832,-0.026320878155056487,0.0005270102131465504,0.8129565099796017
1.4000000000000001,minus_signflip,0.162999041883211,0.28771552436849174,0.19474176260198175,0.0021144550967089337,0.03854443966499466,0.00211893549065675,-0.16088458678650205,-0.24917108470349708,0.010880745158846515
1.4000000000000001,plus_const_k,0.162999041883211,0.28771552436849174,0.19474176260198175,0.13755808542471332,0.28923103977353887,0.1594983767601954,-0.02544095645849767,0.0015155154050471298,0.819025023852651
1.4000000000000001,plus_extra_g2,0.162999041883211,0.28771552436849174,0.19474176260198175,0.39828283412598064,0.46933425898723385,0.6619103737010031,0.23528379224276966,0.18161873461874212,3.3989133345466973
1.5,plus_baseline,0.16473165114097577,0.2898680177051373,0.19722003277868608,0.13747401663683467,0.2901752575023873,0.15938536263081066,-0.027257634504141093,0.00030723979725000294,0.8081601061777925
1.5,minus_signflip,0.16473165114097577,0.2898680177051373,0.19722003277868608,0.002100306127013396,0.038578800333577024,0.002104726697391616,-0.16263134501396237,-0.2512892173715603,0.010671972150787908
1.5,plus_const_k,0.16473165114097577,0.2898680177051373,0.19722003277868608,0.1383586155205473,0.29116743285169583,0.16057563855772145,-0.026373035620428475,0.0012994151465585135,0.8141953750606776
1.5,plus_extra_g2,0.16473165114097577,0.2898680177051373,0.19722003277868608,0.4718403260462745,0.4879211209627945,0.8933668155960248,0.30710867490529875,0.19805310325765718,4.529797521119632
1.6,plus_baseline,0.16625890076292388,0.2917348139672737,0.19941310427788786,0.1381251534953779,0.29175653856239864,0.1602612653746093,-0.028133747267545972,2.1724595124950064e-05,0.8036646636385573
1.6,minus_signflip,0.16625890076292388,0.2917348139672737,0.19941310427788786,0.002088850950296206,0.03860661914577338,0.0020932233819467676,-0.16417004981262767,-0.2531281948215003,0.01049691989664732
1.6,plus_const_k,0.16625890076292388,0.2917348139672737,0.19941310427788786,0.13901352791946336,0.29275159295093467,0.16145843451354489,-0.027245372843460514,0.001016778983660982,0.8096681263661988
1.6,plus_extra_g2,0.16625890076292388,0.2917348139672737,0.19941310427788786,0.5395376940904378,0.4928026992990679,1.1717304264996808,0.37327879332751396,0.2010678853317942,5.875894820166086
1.7000000000000002,plus_baseline,0.16761590632106335,0.29337130497107455,0.20136846390257357,0.1386645274748739,0.29306640429469405,0.16098782866605893,-0.02895137884618945,-0.000304900676380504,0.7994689215285882
1.7000000000000002,minus_signflip,0.16761590632106335,0.29337130497107455,0.20136846390257357,0.002079443242273271,0.03862946569534222,0.002083776336895437,-0.16553646307879008,-0.25474183927573235,0.010348076836418703
1.7000000000000002,plus_const_k,0.16761590632106335,0.29337130497107455,0.20136846390257357,0.13955599380590417,0.2940637574693043,0.16219067458344713,-0.028059912515159185,0.0006924524982297453,0.8054422794917803
1.7000000000000002,plus_extra_g2,0.16761590632106335,0.29337130497107455,0.20136846390257357,0.6002160158707889,0.4873179957251543,1.5013508286935218,0.4326001095497255,0.19394669075407972,7.455739590981375
1.8,plus_baseline,0.16882942488271946,0.2948181145893819,0.2031224756228854,0.13911626203716732,0.2941634383484951,0.16159703790707852,-0.029713162845552143,-0.0006546762408867757,0.7955645351974614
1.8,minus_signflip,0.16882942488271946,0.2948181145893819,0.2031224756228854,0.002071620130574381,0.03864846406442167,0.002075920649581529,-0.16675780475214508,-0.2561696505249602,0.010220044055762972
1.8,plus_const_k,0.16882942488271946,0.2948181145893819,0.2031224756228854,0.14001029264896409,0.29516265573645767,0.16280461434849922,-0.028819132233755373,0.000344541147075772,0.8015096007925788
1.8,plus_extra_g2,0.16882942488271946,0.2948181145893819,0.2031224756228854,0.6538366383918818,0.4747071966662495,1.8888094781448066,0.4850072135091623,0.1798890820768676,9.298869917534612
1.9000000000000001,plus_baseline,0.16992046738094824,0.29610609880561073,0.20470383945598356,0.13949832932425793,0.29509128593813716,0.16211279312765484,-0.030422138056690307,-0.001014812867473569,0.7919382145370709
