sweep,param_name,param,beta,theta,g,ordered_p00,ordered_p11,ordered_coh,best_p00,best_p11,best_coh,ed_p00,ed_p11,ed_coh,d_best_vs_ordered_p00,d_best_vs_ordered_coh,d_best_vs_ed_p00,d_best_vs_ed_coh,d_ordered_vs_ed_p00,d_ordered_vs_ed_coh
angle,theta,1.0799224746714913,2.0,1.0799224746714913,0.5,0.18107509387557105,0.8189249061244289,0.19365343682907518,0.1691298650478572,0.8308701349521428,0.19654171594794462,0.1173456734132979,0.8826543265867021,0.12824977663968473,-0.011945228827713844,0.0028882791188694357,0.051784191634559315,0.06829193930825989,0.06372942046227316,0.06540366018939045
angle,theta,1.1780972450961724,2.0,1.1780972450961724,0.5,0.20545256092962672,0.7945474390703733,0.1737628778249892,0.1939598850678736,0.8060401149321264,0.1773291302693907,0.13119449601675495,0.8688055039832444,0.11363551658667415,-0.011492675861753121,0.0035662524444015076,0.06276538905111864,0.06369361368271656,0.07425806491287176,0.06012736123831505
angle,theta,1.2762720155208536,2.0,1.2762720155208536,0.5,0.22746727499116492,0.7725327250088351,0.14307469438874643,0.2169608705165112,0.7830391294834889,0.14684024114242486,0.14342372954133722,0.8565762704586631,0.09247883796941694,-0.01050640447465373,0.0037655467536784337,0.07353714097517397,0.054361403173007916,0.0840435454498277,0.05059585641932948
angle,theta,1.3744467859455345,2.0,1.3744467859455345,0.5,0.24519264203535543,0.7548073579646447,0.10223234769154102,0.23586342245911862,0.7641365775408814,0.10543423755447615,0.1530740049304993,0.8469259950695007,0.0654488931548522,-0.009329219576236808,0.0032018898629351256,0.08278941752861932,0.03998534439962395,0.09211863710485613,0.036783454536688825
angle,theta,1.4726215563702154,2.0,1.4726215563702154,0.5,0.25676108209472465,0.7432389179052754,0.053353164656434734,0.2483788192898903,0.7516211807101096,0.05520455764447454,0.15927657790944288,0.8407234220905566,0.033940918256573666,-0.00838226280483434,0.001851392988039803,0.08910224138044742,0.021263639387900872,0.09748450418528176,0.01941224639986107
angle,theta,1.5707963267948966,2.0,1.5707963267948966,0.5,0.260788562329951,0.7392114376700488,1.4160892200490815e-17,0.25276844667558496,0.747231553324415,3.4974712810232894e-17,0.16141812992630647,0.8385818700736933,4.824835412055416e-16,-0.008020115654366056,2.081382060974208e-17,0.09135031674927849,-4.475088283953088e-16,0.09937043240364454,-4.683226490050509e-16
temperature,beta,0.2,0.2,1.5707963267948966,0.5,0.41728438462425516,0.582715615375745,8.557373670546009e-18,0.4152530053826502,0.5847469946173498,8.672682741385096e-19,0.403494242332786,0.5965057576672139,3.140599391014305e-17,-0.002031379241604958,-7.6901053964075e-18,0.011758763049864174,-3.0538725636004536e-17,0.013790142291469132,-2.284862023959704e-17
temperature,beta,0.5625,0.5625,1.5707963267948966,0.5,0.33431290229461624,0.6656870977053837,3.5404940752657876e-17,0.3185779032805466,0.6814220967194534,5.066522135791452e-18,0.27033097914545556,0.7296690208545442,1.3023085613261867e-16,-0.01573499901406966,-3.033841861686643e-17,0.04824692413509102,-1.251643339968272e-16,0.06398192314916068,-9.48259153799608e-17
temperature,beta,0.925,0.925,1.5707963267948966,0.5,0.29702746175383943,0.7029725382461606,6.981008835900061e-18,0.26677823636063325,0.7332217636393668,1.071412196464611e-17,0.20026567100846898,0.7997343289915307,2.271601549416071e-16,-0.03024922539320618,3.733113128746049e-18,0.06651256535216427,-2.1644603297696098e-16,0.09676179074537045,-2.2017914610570703e-16
temperature,beta,1.2874999999999999,1.2874999999999999,1.5707963267948966,0.5,0.278543506113353,0.721456493886647,9.875583438895948e-18,0.24344665828849815,0.7565533417115018,1.7337082491754404e-17,0.17166423593829042,0.8283357640617097,3.172112659336656e-16,-0.03509684782485484,7.461499052858456e-18,0.07178242235020774,-2.998741834419112e-16,0.10687927017506257,-3.073356824947696e-16
temperature,beta,1.65,1.65,1.5707963267948966,0.5,0.2678311045895435,0.7321688954104566,2.8804174172006818e-18,0.2407314826751506,0.7592685173248495,2.5356039173558715e-17,0.1626255316868827,0.8373744683131171,4.02221592412153e-16,-0.027099621914392913,2.2475621756358035e-17,0.07810595098826789,-3.768655532385943e-16,0.1052055729026608,-3.993411749949523e-16
temperature,beta,2.0125,2.0125,1.5707963267948966,0.5,0.2605731716312589,0.7394268283687412,1.6963136717012977e-18,0.25340519779104403,0.7465948022089559,3.535617458533251e-17,0.16144141196869874,0.838558588031301,4.853403691564366e-16,-0.007167973840214892,3.3659860913631215e-17,0.0919637858223453,-4.49984194571104e-16,0.09913175966256019,-4.836440554847353e-16
temperature,beta,2.375,2.375,1.5707963267948966,0.5,0.25505453976139103,0.744945460238609,2.081526100780334e-17,0.2759892580272482,0.7240107419727517,4.746483963499395e-17,0.16306227596136957,0.8369377240386304,5.682432936469273e-16,0.02093471826585719,2.664957862719061e-17,0.11292698206587864,-5.207784540119333e-16,0.09199226380002146,-5.47428032639124e-16
