sweep,beta,theta,g,ordered_p00,exact_naive_p00,exact_stable_p00,naive_minus_ordered,stable_minus_ordered,naive_minus_stable,naive_finite
beta_theta_pi2_g05,5.275,1.5707963267948966,0.5,0.23484240346710006,1.0000000000022145,1.0,0.7651575965351144,0.7651575965328999,2.2144508449173372e-12,1.0
beta_theta_pi2_g05,5.6375,1.5707963267948966,0.5,0.23512185185104853,1.0000000000069162,1.0,0.7648781481558677,0.7648781481489515,6.916245354204875e-12,1.0
beta_theta_pi2_g05,6.0,1.5707963267948966,0.5,0.2358184352128152,0.9999999999980667,1.0,0.7641815647852515,0.7641815647871848,-1.9333423750822476e-12,1.0
beta_theta_pi4_g05,0.2,0.7853981633974483,0.5,0.4091996983021648,0.4094269150253062,0.40942691502530626,0.00022721672314141017,0.00022721672314146568,-5.551115123125783e-17,1.0
beta_theta_pi4_g05,0.8125,0.7853981633974483,0.5,0.23053271413623322,0.2606848999006971,0.2606848999006971,0.03015218576446388,0.03015218576446388,0.0,1.0
beta_theta_pi4_g05,1.425,0.7853981633974483,0.5,0.14565518200365488,0.24619083931747435,0.24619083931747446,0.10053565731381947,0.10053565731381958,-1.1102230246251565e-16,1.0
beta_theta_pi4_g05,2.0375,0.7853981633974483,0.5,0.10624412233976847,0.16717837846058767,0.16717837846058764,0.060934256120819194,0.060934256120819166,2.7755575615628914e-17,1.0
beta_theta_pi4_g05,2.6500000000000004,0.7853981633974483,0.5,0.0881224543815121,0.09663253433164601,0.09663253433164602,0.008510079950133906,0.00851007995013392,-1.3877787807814457e-17,1.0
beta_theta_pi4_g05,3.2625,0.7853981633974483,0.5,0.07962324736378841,0.06458841699720876,0.06458841699720887,-0.015034830366579655,-0.015034830366579544,-1.1102230246251565e-16,1.0
beta_theta_pi4_g05,3.8750000000000004,0.7853981633974483,0.5,0.07541190155992623,0.049366705852382585,0.0493667058523833,-0.02604519570754365,-0.026045195707542934,-7.147060721024445e-16,1.0
beta_theta_pi4_g05,4.487500000000001,0.7853981633974483,0.5,0.07314434596690478,0.041428776550051345,0.04142877655005174,-0.03171556941685343,-0.03171556941685304,-3.95516952522712e-16,1.0
beta_theta_pi4_g05,5.1000000000000005,0.7853981633974483,0.5,0.07180572657494237,0.036859011643683506,0.03685901164368498,-0.034946714931258865,-0.034946714931257394,-1.4710455076283324e-15,1.0
beta_theta_pi4_g05,5.7125,0.7853981633974483,0.5,0.0709534539796402,0.03398832936800185,0.03398832936799669,-0.03696512461163835,-0.03696512461164351,5.155598170603071e-15,1.0
beta_theta_pi4_g05,6.325,0.7853981633974483,0.5,0.07038861341408717,0.03205365684005109,0.03205365684004194,-0.03833495657403608,-0.03833495657404523,9.152401059253634e-15,1.0
beta_theta_pi4_g05,6.937500000000001,0.7853981633974483,0.5,0.07001633286458624,0.030677010198317266,0.03067701019828401,-0.03933932266626897,-0.03933932266630223,3.3258118481427346e-14,1.0
beta_theta_pi4_g05,7.550000000000001,0.7853981633974483,0.5,0.06978616108791529,0.029655788529035956,0.029655788528950136,-0.04013037255887933,-0.04013037255896515,8.58202398035246e-14,1.0
