case,n_modes,n_cut,beta,g,theta,omega_q,ratio_min,ratio_max,omega_min,omega_max,detune_over_omega_q,tail_fraction,ordered_p00,ordered_coh,best_p00,best_coh,ed_p00,ed_coh,d_ed_ord_p00,d_ed_best_p00,d_ed_ord_coh,d_ed_best_coh
m3c5,3,5,2.45,0.5,1.5707963267948966,1.5,0.05,3.0,0.07500000000000001,4.5,0.525,0.3425474798260591,0.285262943095396,3.911911571126628e-18,0.26174934597517274,3.2301026541620974e-17,0.23276717172959696,4.642669932217653e-17,-0.052495771365799054,-0.02898217424557578,4.2514787751049905e-17,1.4125672780555556e-17
m3c5,3,5,3.3750000000000004,0.5,1.5707963267948966,1.5,0.05,3.0,0.07500000000000001,4.5,0.525,0.3425474798260591,0.27373711882654056,4.202502542195525e-17,0.3008852793062282,5.495325502985603e-17,0.23437537713437212,8.354005928936116e-17,-0.03936174169216844,-0.0665099021718561,4.151503386740591e-17,2.858680425950513e-17
m3c5,3,5,4.3,0.5,1.5707963267948966,1.5,0.05,3.0,0.07500000000000001,4.5,0.525,0.3425474798260591,0.26503098012946824,2.334201046064037e-17,0.34075507303991603,7.82772945682889e-17,0.23961518710248894,1.3535673821751257e-16,-0.0254157930269793,-0.1011398859374271,1.120147277568722e-16,5.707944364922367e-17
m3c5,3,5,5.225,0.5,1.5707963267948966,1.5,0.05,3.0,0.07500000000000001,4.5,0.525,0.3425474798260591,0.25880063987417135,1.6691486568493004e-17,0.3578714669432457,9.4214764055975e-17,0.24507459932732267,1.993760086412273e-16,-0.013726040546848672,-0.112796867615923,1.826845220727343e-16,1.051612445852523e-16
m3c5,3,5,6.15,0.5,1.5707963267948966,1.5,0.05,3.0,0.07500000000000001,4.5,0.525,0.3425474798260591,0.25506417152032657,8.121954349568124e-18,0.35525911960511036,1.0154661070801956e-16,0.24986000768602132,2.724486479073876e-16,-0.005204163834305248,-0.10539911191908904,2.643266935578195e-16,1.7090203719936805e-16
m3c5,3,5,7.075,0.5,1.5707963267948966,1.5,0.05,3.0,0.07500000000000001,4.5,0.525,0.3425474798260591,0.2537054162495405,1.5503671706940374e-17,0.34267505251838754,1.0312664966196187e-16,0.2538106997069287,3.51562325078392e-16,0.00010528345738819445,-0.08886435281145882,3.360586533714516e-16,2.484356754164301e-16
m3c5,3,5,8.0,0.5,1.5707963267948966,1.5,0.05,3.0,0.07500000000000001,4.5,0.525,0.3425474798260591,0.25445736121598794,6.06314204279581e-18,0.3263367443657156,1.015927124917361e-16,0.2569849229141327,4.3418758492496636e-16,0.0025275616981447757,-0.06935182145158286,4.2812444288217055e-16,3.325948724332303e-16
m3c5,3,5,0.6,0.5,1.5707963267948966,1.5,0.05,4.0,0.07500000000000001,6.0,0.9500000000000001,0.19914827347145578,0.36500799306725773,3.12602880682129e-17,0.35140905546874146,4.126367941382672e-18,0.330850778004861,7.46307951956206e-18,-0.03415721506239672,-0.020558277463880448,-2.3797208548650837e-17,3.336711578179388e-18
m3c5,3,5,1.525,0.5,1.5707963267948966,1.5,0.05,4.0,0.07500000000000001,6.0,0.9500000000000001,0.19914827347145578,0.3112027663003706,1.9136700158060632e-18,0.26912632989978214,1.6328867116489126e-17,0.243550063105762,3.2861578195214456e-17,-0.06765270319460859,-0.02557626679402014,3.094790817940839e-17,1.653271107872533e-17
m3c5,3,5,2.45,0.5,1.5707963267948966,1.5,0.05,4.0,0.07500000000000001,6.0,0.9500000000000001,0.19914827347145578,0.293584787299321,2.2429153478617372e-17,0.2673630380465654,3.295107224230289e-17,0.23234592674445564,7.112209749483603e-17,-0.06123886055486538,-0.03501711130210977,4.869294401621866e-17,3.817102525253314e-17
m3c5,3,5,3.3750000000000004,0.5,1.5707963267948966,1.5,0.05,4.0,0.07500000000000001,6.0,0.9500000000000001,0.19914827347145578,0.282111953143444,1.0707222352910056e-17,0.30565501919635096,5.544485708023481e-17,0.2375038580385543,1.0809911932462302e-16,-0.044608095104889695,-0.06815116115779665,9.739189697171296e-17,5.2654262244388204e-17
m3c5,3,5,4.3,0.5,1.5707963267948966,1.5,0.05,4.0,0.07500000000000001,6.0,0.9500000000000001,0.19914827347145578,0.27330396526131984,1.4570329826641485e-17,0.3436559197714416,7.811504961483056e-17,0.24486856734573131,1.440957056740885e-16,-0.028435397915588523,-0.0987873524257103,1.2952537584744702e-16,6.598065605925794e-17
m3c5,3,5,5.225,0.5,1.5707963267948966,1.5,0.05,4.0,0.07500000000000001,6.0,0.9500000000000001,0.19914827347145578,0.2670197774401779,7.30564040017109e-18,0.3592009110903354,9.334457407693647e-17,0.2513527100980788,1.7880566239663458e-16,-0.015667067342099106,-0.10784820099225662,1.715000219964635e-16,8.546108831969811e-17
