key,status,error,timestamp,beta,theta,g,n_modes,n_cut,ordered_p00,ordered_coh,analytic_v12_p00,analytic_v12_coh,analytic_raw_p00,analytic_raw_coh,ed_p00,ed_coh,elapsed_s
7.81538462|2|12,ok,,2026-02-20 10:32:40,7.815384615384616,1.5707963267948966,0.5,2,12,0.2439769616788219,4.021467548710236e-18,0.2812808736180651,1.0149335694450267e-16,1.0,3.608258103504782e-16,0.37291561997203154,2.8703647773074607e-16,0.03274759999476373
8.84615385|2|12,ok,,2026-02-20 10:32:40,8.846153846153847,1.5707963267948966,0.5,2,12,0.24916584326820096,7.256274840149223e-18,0.2570069925612697,9.477139992076694e-17,1.0,3.687502998060666e-16,0.37306421603321777,3.273004640555697e-16,0.029606600000988692
9.87692308|2|12,ok,,2026-02-20 10:32:40,9.876923076923077,1.5707963267948966,0.5,2,12,0.1372586525968836,8.815521408774453e-18,0.23411170364757777,8.770081789980059e-17,1.0,3.7461099604552617e-16,0.3731427897955771,3.6719262653702263e-16,0.02932909999799449
10.90769231|2|12,ok,,2026-02-20 10:32:40,10.907692307692308,1.5707963267948966,0.5,2,12,0.2773849835654745,1.831070588082525e-17,0.21266693469721615,8.061964910720126e-17,1.0,3.7908878228888256e-16,0.3731846267515848,4.0681965326837077e-16,0.029748399996606167
11.93846154|2|12,ok,,2026-02-20 10:32:41,11.938461538461539,1.5707963267948966,0.5,2,12,0.35763853842659304,5.382389204600089e-18,0.19269160919733164,7.372426124913352e-17,1.0,3.8260234362363717e-16,0.37320698939401936,4.462715237235109e-16,0.033985599999141414
12.96923077|2|12,ok,,2026-02-20 10:32:41,12.969230769230771,1.5707963267948966,0.5,2,12,0.5,4.89424454820008e-34,0.17417710796848834,6.713168650161785e-17,0.999989783408255,3.85418046211834e-16,0.37321896713798086,4.856127413445581e-16,0.030603300001530442
14.00000000|2|12,ok,,2026-02-20 10:32:41,14.0,1.5707963267948966,0.5,2,12,0.40272163092673524,1.7789683261767347e-18,0.15709817374634244,6.091070677931855e-17,1.0,3.877238374401448e-16,0.37322538795240573,5.248860078959661e-16,0.030241600004956126
0.60000000|3|4,ok,,2026-02-20 10:32:41,0.6,1.5707963267948966,0.5,3,4,0.3289834567267669,8.156610498446434e-18,0.311532114333834,5.6034702799387626e-18,0.3628146670590665,9.192920631552487e-18,0.2758592045019687,5.626817340958425e-18,0.006514300002891105
1.63076923|3|4,ok,,2026-02-20 10:32:41,1.6307692307692307,1.5707963267948966,0.5,3,4,0.2682899329197803,1.403340444965622e-17,0.24044519035801237,2.4885139145322142e-17,0.97124012970106,1.142374206512359e-16,0.1792896402313683,8.124606517416985e-18,0.005907099999603815
2.66153846|3|4,ok,,2026-02-20 10:32:41,2.661538461538462,1.5707963267948966,0.5,3,4,0.25144854926394866,1.4641222870092914e-17,0.2966037507833744,5.806010802476528e-17,1.0,1.980405826614873e-16,0.1778342297461936,7.56990037935646e-18,0.005892400004086085
3.69230769|3|4,ok,,2026-02-20 10:32:41,3.692307692307693,1.5707963267948966,0.5,3,4,0.24213482414738718,3.877449823331924e-18,0.3495480863455481,9.232230418945849e-17,1.0,2.6442446803553193e-16,0.18543870841022358,7.701089401917914e-18,0.006120400001236703
4.72307692|3|4,ok,,2026-02-20 10:32:41,4.723076923076923,1.5707963267948966,0.5,3,4,0.23742741918963525,1.574619778330733e-17,0.35227422689598586,1.0817420831567946e-16,1.0,3.0711847185682216e-16,0.19206995972029112,8.522342345167893e-18,0.005884699996386189
5.75384615|3|4,ok,,2026-02-20 10:32:41,5.753846153846154,1.5707963267948966,0.5,3,4,0.23665901907701614,6.974040805869295e-18,0.33203702151452463,1.1060959254574412e-16,0.9999999999944778,3.33131013245545e-16,0.19697806889242994,9.700973252988297e-18,0.0060567999971681274
6.78461538|3|4,ok,,2026-02-20 10:32:41,6.784615384615385,1.5707963267948966,0.5,3,4,0.23911044856660046,6.7883896928914895e-18,0.3066730557697036,1.072332464507517e-16,1.0,3.4966735605918195e-16,0.20046145545956703,1.1010133982921559e-17,0.006011999998008832
7.81538462|3|4,ok,,2026-02-20 10:32:41,7.815384615384616,1.5707963267948966,0.5,3,4,0.2439769616788219,4.021467548710236e-18,0.2812808736180651,1.0149335694450267e-16,1.0,3.608258103504782e-16,0.2028883837702718,1.2325442923901685e-17,0.0059554000035859644
8.84615385|3|4,ok,,2026-02-20 10:32:41,8.846153846153847,1.5707963267948966,0.5,3,4,0.24916584326820096,7.256274840149223e-18,0.2570069925612697,9.477139992076694e-17,1.0,3.687502998060666e-16,0.20456289930143107,1.3589606515381595e-17,0.006329200004984159
