sweep,param_name,param,beta,theta,g,ord_ratio,legacy_ratio,running_ratio,legacy_ratio_over_ord,running_ratio_over_ord
temperature,beta,2.279310344827586,2.279310344827586,1.5707963267948966,0.5,0.761736176384106,1.413794088325952,0.6137795300382938,1.856015418665359,0.8057639233455407
temperature,beta,2.5517241379310343,2.5517241379310343,1.5707963267948966,0.5,0.7551555120188302,2.5005200191689143,0.6095533888806312,3.31126500352321,0.807189220204784
temperature,beta,2.8241379310344827,2.8241379310344827,1.5707963267948966,0.5,0.748208331917924,5.418270790924387,0.6075842385948041,7.241660590745082,0.8120522221886218
temperature,beta,3.0965517241379312,3.0965517241379312,1.5707963267948966,0.5,0.7410110478546279,15.136329852902167,0.6074511524188247,20.42659133990563,0.81975991340034
temperature,beta,3.3689655172413797,3.3689655172413797,1.5707963267948966,0.5,0.7336432316139676,58.23186180926854,0.6087632391030824,79.37354193411264,0.8297810337090045
temperature,beta,3.6413793103448273,3.6413793103448273,1.5707963267948966,0.5,0.7261573823053832,335.9826236291744,0.611146709504109,462.68568194134986,0.8416174294930622
temperature,beta,3.913793103448276,3.913793103448276,1.5707963267948966,0.5,0.7185869805804442,3246.1002109074984,0.6142417523594846,4517.337912636433,0.8547910955225926
temperature,beta,4.186206896551724,4.186206896551724,1.5707963267948966,0.5,0.7109525214502692,60562.634512155215,0.6177056337057761,85185.20250624973,0.8688423137523333
temperature,beta,4.458620689655172,4.458620689655172,1.5707963267948966,0.5,0.7032658839181433,2623979.1240118993,0.6212194677282319,3731133.8200980993,0.8833351395724117
temperature,beta,4.73103448275862,4.73103448275862,1.5707963267948966,0.5,0.6955334773636614,335156869.21782535,0.6244965435312004,481870219.2275727,0.8978669810364612
temperature,beta,5.003448275862068,5.003448275862068,1.5707963267948966,0.5,0.6877585311039773,146805553292.02313,0.6272903826157522,213455081474.83115,0.9120793915968227
temperature,beta,5.275862068965517,5.275862068965517,1.5707963267948966,0.5,0.6799427986579497,999000999000.9979,0.6294010554054966,1469242708315.0618,0.9256676541715914
temperature,beta,5.548275862068965,5.548275862068965,1.5707963267948966,0.5,0.6720878680353045,985945393608.4719,0.6306787596295982,1466988827650.1572,0.9383873591890673
temperature,beta,5.820689655172413,5.820689655172413,1.5707963267948966,0.5,0.6641962091058765,981625336619.8962,0.631024216987166,1477914693219.7288,0.9500569384996705
temperature,beta,6.093103448275862,6.093103448275862,1.5707963267948966,0.5,0.6562720456044074,999000999000.9982,0.6303859856072102,1522236099633.6895,0.960555900298454
temperature,beta,6.36551724137931,6.36551724137931,1.5707963267948966,0.5,0.64832210804532,968732502919.3606,0.6287552202082951,1494214821454.382,0.969819187722923
temperature,beta,6.637931034482758,6.637931034482758,1.5707963267948966,0.5,0.6403563009449189,999000999000.9977,0.6261586779569684,1560070538113.387,0.9778285573703608
temperature,beta,6.910344827586206,6.910344827586206,1.5707963267948966,0.5,0.6323883004263657,999000999000.9979,0.622650851635977,1579727199769.3137,0.9846021047751703
temperature,beta,7.182758620689654,7.182758620689654,1.5707963267948966,0.5,0.6244360847031305,931894904680.715,0.618306041014027,1492378367470.9707,0.9901830726310316
temperature,beta,7.455172413793103,7.455172413793103,1.5707963267948966,0.5,0.6165223888354731,999000999000.9979,0.613211001351205,1620380730838.266,0.9946289258180592
temperature,beta,7.727586206896551,7.727586206896551,1.5707963267948966,0.5,0.6086750662507145,999000999000.9982,0.6074585929117556,1641271434285.8696,0.9980014404936117
temperature,beta,8.0,8.0,1.5707963267948966,0.5,0.6009273315012589,999000999000.9979,0.6011426453496604,1662432288615.6538,1.0003583026367986
