window_name,window_family,case,n_modes,n_cut,bandwidth,omega_min,omega_max,detune_over_omega_q,tail_fraction,rmse_ed_vs_ordered_p00,rmse_ed_vs_cont_p00,rmse_ed_vs_disc_p00,rmse_ed_vs_ordered_coh,rmse_ed_vs_cont_coh,rmse_ed_vs_disc_coh,p00_at_beta2,p00_at_beta8
ratio_r6.0,ratio,m2c6,2,6,5.95,0.05,6.0,0.95,0.19914827347145578,0.03745135067811983,0.017599945471813525,0.06493798140521008,2.493225097362031e-16,1.986671778113593e-16,1.6167950668085365e-16,0.30774899629068203,0.3428801312247545
ratio_r3.0,ratio,m2c6,2,6,2.95,0.05,3.0,0.95,0.5578254003710745,0.03219613662693783,0.02825806306299885,0.065126281349926,9.374015072414271e-18,5.663603629641818e-17,8.303242223063754e-17,0.29459936560417277,0.3183500945440541
ratio_r4.0,ratio,m3c5,3,5,3.95,0.05,4.0,0.95,0.4060058497098381,0.03275918580641338,0.04254497069120289,0.06528875440573614,7.637629685919399e-17,2.4743527705992428e-17,1.7888695778242052e-17,0.29986687191656936,0.30133432064031435
center_d1.20,centered,m2c6,2,6,2.1500000000000004,0.05,2.2,0.95,0.6990292757659671,0.02904028139185464,0.03434176823056372,0.06540049852469461,2.6523661025161315e-17,3.586341366853777e-17,5.50366532289662e-17,0.2909064357825685,0.30561763026221367
ratio_r2.0,ratio,m2c6,2,6,1.95,0.05,2.0,0.95,0.7357588823428847,0.028390658597402446,0.03680662028401109,0.06640905343301141,1.4848974920044531e-16,9.195006885113269e-17,7.364579980233557e-17,0.2888619871007953,0.300642666115135
ratio_r5.0,ratio,m2c6,2,6,4.95,0.05,5.0,0.95,0.2872974951836458,0.036499831984116424,0.020250428747357118,0.06650644455046312,8.299012543225414e-16,7.763444024024281e-16,7.412392991374817e-16,0.3012883621443928,0.33551124362246304
ratio_r4.0,ratio,m2c6,2,6,3.95,0.05,4.0,0.95,0.4060058497098381,0.035061100598147474,0.023869250368309496,0.06650945214793119,1.3788717459054091e-17,6.012490184907825e-17,9.187154907395673e-17,0.2970102041814152,0.3277966002720128
ratio_r4.0,ratio,m4c4,4,4,3.95,0.05,4.0,0.3666666666666667,0.4060058497098381,0.03360559978375716,0.05314162137338902,0.06685177674571878,1.891893842027365e-16,1.3189724168438935e-16,1.1933331783531388e-16,0.3048835680939977,0.2855829896765345
center_d0.50,centered,m2c4,2,4,1.0,0.5,1.5,0.5,0.8266414672967757,0.0818422735663976,0.06843240742495016,0.0669547851051263,4.649702243444401e-17,1.47575957330328e-17,1.8283670830981187e-17,0.2914091816728756,0.25737005363322
ratio_r2.0,ratio,m3c5,3,5,1.95,0.05,2.0,0.02499999999999991,0.7357588823428847,0.01964254643846735,0.0530444237136005,0.06735473304523487,1.8776576820304964e-17,4.8033195783621315e-17,5.60200421014237e-17,0.2913447632084626,0.27720249612488085
