sweep,param_name,param,beta,theta,g,exact_p00,exact_p11,exact_coh,exact_ratio,ordered_p00,ordered_p11,ordered_coh,ordered_ratio,ordered_minus_exact_p00,ordered_minus_exact_p11,ordered_minus_exact_coh,ordered_ratio_over_exact,ordered_trace_distance_exact,compact_ab_p00,compact_ab_p11,compact_ab_coh,compact_ab_ratio,compact_ab_minus_exact_p00,compact_ab_minus_exact_p11,compact_ab_minus_exact_coh,compact_ab_ratio_over_exact,compact_ab_trace_distance_exact,compact_abdiag_p00,compact_abdiag_p11,compact_abdiag_coh,compact_abdiag_ratio,compact_prodassume_p00,compact_prodassume_p11,compact_prodassume_coh,compact_prodassume_ratio,compact_closed_p00,compact_closed_p11,compact_closed_coh,compact_closed_ratio,compact_closed_trace_distance_exact,compact_ab_vs_closed_trace_distance,compact_abdiag_vs_ab_trace_distance,trace_factor_ratio_minus1_abs,delta_diag_expm_maxabs,sigma_plus,sigma_minus,delta_z
coupling,g,1.4285714285714284,2.0,0.7853981633974483,1.4285714285714284,0.15743118673065618,0.8425688132693437,0.28189879443476923,0.18684668154259135,0.17024651851639774,0.8297534814836023,0.2972212272113601,0.20517722711087194,0.012815331785741568,-0.012815331785741457,0.015322432776590844,1.098104742438801,0.019975226531175623,0.16820611235824126,0.8317938876417587,0.37404921617825504,0.20222090455019687,0.010774925627585086,-0.010774925627585086,0.09215042174348581,1.082282558516304,0.09277822616208127,0.1682061123582412,0.8317938876417588,0.374049216178255,0.20222090455019678,0.16820611235824734,0.8317938876417527,0.37404921617824816,0.20222090455020564,0.1682061123582412,0.8317938876417588,0.374049216178255,0.20222090455019678,0.09277822616208115,1.4752290795525882e-16,1.4752290795525882e-16,0.9019509543730411,1.3322676295501878e-14,300.56572665658615,5.505053311772018,61.45972335262008
coupling,g,1.5714285714285714,2.0,0.7853981633974483,1.5714285714285714,0.16122054713289646,0.8387794528671036,0.2867225144457688,0.19220850794784583,0.17199423478949094,0.8280057652105092,0.29919788347656373,0.2077210594611787,0.010773687656594477,-0.010773687656594477,0.012475369030794936,1.0807068931492985,0.016483542646420775,0.1682061123582412,0.8317938876417588,0.374049216178255,0.20222090455019678,0.006985565225344742,-0.006985565225344881,0.08732670173248619,1.0520913288867928,0.08760565596462452,0.16820611235824126,0.8317938876417588,0.3740492161782551,0.20222090455019684,0.16820611235824726,0.8317938876417527,0.3740492161782481,0.20222090455020553,0.1682061123582412,0.8317938876417588,0.374049216178255,0.20222090455019678,0.08760565596462452,0.0,5.551115123125783e-17,0.9019509543730411,2.5757174171303632e-14,363.6845292544693,6.661114507244142,74.36626525667032
coupling,g,1.7142857142857142,2.0,0.7853981633974483,1.7142857142857142,0.16420818463061052,0.8357918153693894,0.2903894465391324,0.19647019940968974,0.17346565995472438,0.8265343400452757,0.30084231676372497,0.20987108647563552,0.009257475324113862,-0.009257475324113695,0.01045287022459257,1.068208242808374,0.013962927533606628,0.1682061123582413,0.8317938876417587,0.37404921617825504,0.2022209045501969,0.003997927727630773,-0.003997927727630746,0.08365976963912264,1.0292701140314695,0.08375524152067407,0.16820611235824126,0.8317938876417587,0.37404921617825504,0.20222090455019687,0.16820611235824748,0.8317938876417525,0.37404921617824827,0.20222090455020583,0.1682061123582413,0.8317938876417587,0.37404921617825504,0.2022209045501969,0.08375524152067407,0.0,1.1857187100668868e-16,0.9019509543730411,3.9968028886505635e-15,432.8146463854841,7.927276768951707,88.50200162777293
coupling,g,1.857142857142857,2.0,0.7853981633974483,1.857142857142857,0.16659865217730757,0.8334013478226924,0.2932414228811715,0.19990206712834802,0.17471941141940894,0.8252805885805911,0.3022294817880763,0.21170910092519046,0.008120759242101372,-0.008120759242101316,0.008988058906904794,1.0590640905642146,0.012113295735767556,0.16820611235824126,0.8317938876417587,0.37404921617825504,0.20222090455019687,0.0016074601809336897,-0.0016074601809337175,0.08080779329708354,1.0115998671507485,0.0808237798285719,0.16820611235824126,0.8317938876417588,0.3740492161782551,0.20222090455019684,0.16820611235824737,0.8317938876417527,0.37404921617824816,0.20222090455020567,0.16820611235824126,0.8317938876417588,0.3740492161782551,0.20222090455019684,0.0808237798285718,1.1857187100668868e-16,1.1857187100668868e-16,0.9019509543730411,9.325873406851315e-15,507.9560780496306,9.30354009689471,103.86693246592795
coupling,g,2.0,2.0,0.7853981633974483,2.0,0.16853974593341997,0.83146025406658,0.29550619679418194,0.20270331036163275,0.17579862062610915,0.8242013793738908,0.303413352629599,0.2132957127051347,0.007258874692689182,-0.0072588746926891545,0.007907155835417068,1.0522556949099873,0.010733795936654161,0.1682061123582412,0.8317938876417588,0.374049216178255,0.20222090455019678,-0.0003336335751787656,0.00033363357517879333,0.07854301938407304,0.9976201384645602,0.07854372798212059,0.1682061123582412,0.8317938876417588,0.374049216178255,0.20222090455019678,0.16820611235824726,0.8317938876417527,0.3740492161782481,0.20222090455020553,0.16820611235824126,0.8317938876417588,0.3740492161782551,0.20222090455019684,0.07854372798212059,5.551115123125783e-17,0.0,0.9019509543730411,7.105427357601002e-15,589.108824246909,10.789904491073157,120.46105777113539
angle,theta,0.0,2.0,0.0,0.5,0.017986209962091684,0.9820137900379083,0.0,0.01831563888873431,0.017986209962091562,0.9820137900379085,0.0,0.018315638888734186,-1.214306433183765e-16,1.1102230246251565e-16,0.0,0.9999999999999932,1.682681771697503e-16,0.017986209962091555,0.9820137900379085,0.0,0.01831563888873418,-1.2836953722228372e-16,1.1102230246251565e-16,0.0,0.9999999999999928,1.196959198423997e-16,0.017986209962091555,0.9820137900379085,0.0,0.01831563888873418,0.017986209962091555,0.9820137900379085,0.0,0.01831563888873418,0.017986209962091555,0.9820137900379085,0.0,0.01831563888873418,1.196959198423997e-16,0.0,0.0,0.5,0.0,0.0,0.0,0.0
angle,theta,0.1121997376282069,2.0,0.1121997376282069,0.5,0.0193110437799241,0.980688956220076,0.02641654547807193,0.019691303402003965,0.020352203863228436,0.9796477961367717,0.04243333374852155,0.020775021332653517,0.001041160083304335,-0.0010411600833043488,0.016016788270449618,1.0550353579204546,0.016050592537955686,0.02350635691953615,0.9764936430804639,0.12199226280471066,0.024072206804524182,0.00419531313961205,-0.004195313139612078,0.09557571732663873,1.222479097146732,0.09566775002497421,0.02350635691953617,0.9764936430804637,0.12199226280471069,0.024072206804524203,0.023506356919536155,0.9764936430804639,0.12199226280471069,0.024072206804524186,0.02350635691953617,0.9764936430804637,0.12199226280471069,0.024072206804524203,0.09566775002497427,5.647850449853784e-17,5.647850449853784e-17,0.5654608667489294,2.220446049250313e-15,8.193065360833026,0.15006122654081436,0.18876313869427033
angle,theta,0.2243994752564138,2.0,0.2243994752564138,0.5,0.0232784059256506,0.9767215940743493,0.0521933558318246,0.023833204944866425,0.02746609721472956,0.9725339027852705,0.08421565251476701,0.028241788935139987,0.004187691289078959,-0.00418769128907881,0.03202229668294241,1.1849765484949246,0.03229495693112177,0.03428572920211877,0.9657142707978813,0.1778188097069749,0.0355029745742409,0.011007323276468167,-0.011007323276468028,0.12562545387515028,1.4896433214236298,0.126106763605487,0.03428572920211878,0.9657142707978813,0.17781880970697495,0.03550297457424091,0.034285729202118774,0.9657142707978813,0.17781880970697492,0.035502974574240904,0.03428572920211879,0.9657142707978813,0.17781880970697492,0.03550297457424092,0.12610676360548703,2.964296775167217e-17,5.594315114139762e-17,0.6539343413245734,1.3322676295501878e-15,15.975296213212324,0.2925977565817596,0.7455871827967266
angle,theta,0.3365992128846207,2.0,0.3365992128846207,0.5,0.029863865164282508,0.9701361348357175,0.07665120932054541,0.03078316959025513,0.03937495789351586,0.9606250421064843,0.12463485475830158,0.04098889386349267,0.009511092729233353,-0.009511092729233228,0.04798364543775617,1.3315358492670721,0.048917186288669284,0.047940633818639763,0.9520593661813603,0.21315696013109398,0.050354668544385105,0.018076768654357256,-0.018076768654357145,0.13650575081054855,1.6357856976601144,0.13769745665528732,0.047940633818639694,0.9520593661813603,0.2131569601310938,0.05035466854438503,0.04794063381863977,0.9520593661813603,0.21315696013109398,0.05035466854438511,0.0479406338186397,0.9520593661813603,0.2131569601310938,0.050354668544385035,0.13769745665528715,1.6943551349561353e-16,1.7010907505015192e-16,0.7248898350789827,3.1086244689504383e-15,22.956459006433544,0.42046221332586636,1.6425506496413513
angle,theta,0.4487989505128276,2.0,0.4487989505128276,0.5,0.03901594464370954,0.9609840553562905,0.09903191624991133,0.040599991671291726,0.05615334394415393,0.9438466560558461,0.16284589198761212,0.05949413878183133,0.01713739930044439,-0.017137399300444445,0.0638139757377008,1.4653731770073162,0.06607506302860966,0.06599247537105092,0.9340075246289491,0.24821933390937,0.07065518599249786,0.02697653072734138,-0.026976530727341408,0.1491874176594587,1.7402758740578308,0.15160679007874603,0.06599247537105095,0.9340075246289491,0.24821933390937007,0.07065518599249788,0.06599247537105093,0.9340075246289491,0.24821933390937007,0.07065518599249787,0.06599247537105096,0.934007524628949,0.24821933390937018,0.07065518599249791,0.15160679007874622,1.8619006149354548e-16,5.721958498152797e-17,0.7835579360091397,8.881784197001252e-16,28.786489087247425,0.5272429389965111,2.834676045607295
