sweep,param_name,param,beta,theta,g,ordered_p00,ordered_coh,exact_raw_p00,exact_raw_coh,new_p00,new_coh,ed_p00,ed_coh,d_raw_vs_ed_p00,d_new_vs_ed_p00,d_ord_vs_ed_p00,d_raw_vs_ord_p00,d_new_vs_ord_p00
coupling,g,1.8,2.0,0.7853981633974483,1.8,0.16882942488271946,0.2948181145893819,0.17414742207042638,0.37923620272417446,0.9861823677627384,1.9764634363835931,0.1691069436724678,0.29624755828984317,0.00504047839795857,0.8170754240902706,-0.0002775187897483544,0.005317997187706924,0.8173529428800189
coupling,g,2.0,2.0,0.7853981633974483,2.0,0.17090591693543924,0.29725935390629976,0.1741474220704261,0.37923620272417446,0.9951014296768963,1.994006731365611,0.17093846176901456,0.29829974980146395,0.0032089603014115453,0.8241629679078817,-3.2544833575315346e-05,0.0032415051349868607,0.8241955127414571
temperature,beta,0.4,0.4,1.5707963267948966,0.5,0.36277967393405575,9.02473085893956e-18,0.37110413016861077,3.978652452226446e-18,0.4844008791844616,4.358384275103921e-18,0.344864052129785,6.182348904505333e-18,0.026240078038825776,0.13953682705467663,0.017915621804270754,0.008324456234555022,0.12162120525040587
temperature,beta,0.96,0.96,1.5707963267948966,0.5,0.2927970423625558,4.764888602860348e-18,0.45329760062220187,2.7137696645913814e-17,0.4847325856368645,2.850241572407083e-17,0.3047190789180116,2.4961433837930394e-17,0.14857852170419028,0.1800135067188529,-0.011922036555455762,0.16050055825964604,0.19193554327430867
temperature,beta,1.52,1.52,1.5707963267948966,0.5,0.26847060557966224,1.589085947254719e-17,0.9164663482365016,9.991637849638923e-17,0.4117040931386805,4.7745292683091815e-17,0.3209185871116095,7.395296535988855e-17,0.5955477611248922,0.09078550602707103,-0.05244798153194724,0.6479957426568395,0.14323348755901827
temperature,beta,2.0799999999999996,2.0799999999999996,1.5707963267948966,0.5,0.25645818599610287,2.5624948794187185e-18,0.9999714779586254,1.5231299546735643e-16,0.34226394356581646,5.369634656073155e-17,0.335691790102002,1.3020392493112094e-16,0.6642796878566234,0.006572153463814456,-0.07923360410589914,0.7435132919625225,0.08580575756971359
temperature,beta,2.6399999999999997,2.6399999999999997,1.5707963267948966,0.5,0.24865939894100497,2.5598069468652696e-18,0.9999999999999891,1.9564086242586419e-16,0.34945114718001485,6.901505753412212e-17,0.34466873559643585,1.827076067097191e-16,0.6553312644035533,0.004782411583579005,-0.09600933665543088,0.7513406010589841,0.10079174823900988
temperature,beta,3.1999999999999997,3.1999999999999997,1.5707963267948966,0.5,0.243022176653128,2.1743387875227275e-18,0.9999999999999665,2.3421406740197227e-16,0.3493120624469665,8.206702071277757e-17,0.3498403945581747,2.28323373184006e-16,0.6501596054417917,-0.0005283321112082295,-0.10681821790504673,0.7569778233468385,0.1062898857938385
temperature,beta,3.7599999999999993,3.7599999999999993,1.5707963267948966,0.5,0.23899063275065158,3.033873166715451e-17,0.9999999999998975,2.654644652386036e-16,0.34916284687604127,9.278399491324725e-17,0.352865496189978,2.6799306745177203e-16,0.6471345038099195,-0.0037026493139367123,-0.1138748634393264,0.761009367249246,0.11017221412538969
temperature,beta,4.319999999999999,4.319999999999999,1.5707963267948966,0.5,0.23637504082495048,1.8121193239865408e-17,0.9999999999996861,2.894523769997342e-16,0.3490023519244533,1.010528916402766e-16,0.35469375588861296,3.0372105931622413e-16,0.6453062441110732,-0.00569140396415968,-0.11831871506366248,0.7636249591747357,0.1126273110995028
