lambda,trace_distance_to_tau,trace_distance_to_ultrastrong,coherence_hs_basis,coherence_x_basis,expect_sigma_z,expect_x
2.375,0.1057704592503326,0.006636888201829673,0.20887559004238554,0.013273362116144147,-0.8716736650058652,-0.8962520896703369
2.5,0.10609075402081343,0.006315687590391093,0.20950042168402508,0.012631018368622753,-0.8715243682501856,-0.896262020011247
2.625,0.10638173896156944,0.006023867394127807,0.21006799784204236,0.012047425334967946,-0.8713883096196509,-0.8962706117027128
2.75,0.10664726515145057,0.00575756879731424,0.21058585106887714,0.011514867512235523,-0.8712638031294472,-0.8962780947564026
2.875,0.1068905365723291,0.005513581135646699,0.21106024669442996,0.011026925184972933,-0.8711494374865345,-0.8962846518203824
3.0,0.10711424069632675,0.005289211143316061,0.21149643884845887,0.010578213059251228,-0.8710440223205487,-0.8962904294225246
3.125,0.10732064863766212,0.005082182663678176,0.21189886674907082,0.01016417978212288,-0.87094654657499,-0.8962955462177631
3.25,0.10751169284706696,0.004890558840724179,0.21227130693085872,0.009780952394431854,-0.8708561459634561,-0.8963000991178774
3.375,0.10768902801878061,0.004712681117251557,0.21261699254797997,0.009425214377611735,-0.8707720772668706,-0.8963041679038118
3.5,0.10785407929883303,0.004547120947588816,0.21293870777903615,0.009094109116043048,-0.8706936978504566,-0.8963078187355578
3.625,0.10800808078223703,0.00439264123437795,0.21323886319685456,0.008785162797933226,-0.870620449203198,-0.8963111068501153
3.75,0.10815210650890947,0.004248165277341901,0.21351955643887854,0.008496222333297268,-0.8705518436085267,-0.8963140786566521
3.875,0.10828709561097571,0.004112751579402298,0.21378262141922127,0.008225404981644095,-0.8704874532708375,-0.896316773376305
4.0,0.10841387286056264,0.003985573259602544,0.2140296685319964,0.007971057189619874,-0.8704269013873762,-0.8963192243380844
4.125,0.10853316557101522,0.003865901118591464,0.21426211771373227,0.007731720731057552,-0.8703698547701576,-0.8963214600099316
4.25,0.10864561758524578,0.003753089621937159,0.2144812258028071,0.007506104680653974,-0.8703160177125704,-0.8963235048248287
4.375,0.10875180092088516,0.0036465652308294637,0.21468810931232757,0.0072930620808949525,-0.8702651268635496,-0.896325379848421
4.5,0.1088522255178607,0.0035458166337777354,0.214883763489088,0.007091570409797063,-0.8702169469196593,-0.8963271033202835
4.625,0.10894734743985353,0.003450386527395659,0.21506907834734573,0.006900715145932011,-0.870171266988725,-0.8963286910974202
4.75,0.1090375758083922,0.0033598646669442166,0.2152448522228571,0.006719675872266926,-0.8701278975038461,-0.8963301570175328
4.875,0.10912327869251462,0.00327388196343439,0.2154118032840722,0.006547714472588935,-0.870086667595159,-0.8963315132004062
5.0,0.10920478813300771,0.00319210544784119,0.21557057935043622,0.006384165061721184,-0.8700474228396322,-0.8963327702967426
5.125,0.10928240444619441,0.0031142339573350534,0.2157217663020583,0.006228425359445297,-0.8700100233296302,-0.8963339376973546
5.25,0.10935639992492552,0.003039994425535555,0.21586589531054032,0.0060799492721976415,-0.8699743420065535,-0.8963350237075445
5.375,0.10942702203312589,0.0029691386803168286,0.21600344907972513,0.00593824048965773,-0.8699402632191766,-0.8963360356942449
5.5,0.10949449617292799,0.0029014406699553862,0.21613486725089423,0.0058028469378499665,-0.8699076814717066,-0.8963369802102653
5.625,0.10955902808969831,0.002836694052197012,0.2162605511002056,0.005673355957945923,-0.8698765003332919,-0.8963378630998662
5.75,0.10962080596908297,0.002774710092008963,0.21638086763424333,0.00554939010232589,-0.8698466314852914,-0.8963386895889011
5.875,0.10968000227108873,0.0027153158228720633,0.21649615317157672,0.00543060345762661,-0.8698179938856558,-0.8963394643612673
6.0,0.10973677533896689,0.0026583524338325243,0.21660671648443133,0.005316678419236829,-0.8697905130353092,-0.8963401916253557
