sx,sz,scale,d_mean,d_max,d_last
1,1,2.145833333333333,0.16750223459804017,0.2507182115119029,0.15876378969683602
1,1,2.1666666666666665,0.16753143785514654,0.2508674053718425,0.15876378969683613
1,1,2.1875,0.16756008486013335,0.2510460745830128,0.15876378969683608
1,1,2.208333333333333,0.16758819135596378,0.25137850893240093,0.15876378969683608
1,1,2.2291666666666665,0.1676157724970805,0.2516821616146424,0.15876378969683616
1,1,2.25,0.1676428428766518,0.25195919900730934,0.15876378969683597
1,1,2.270833333333333,0.16766941655231804,0.25221166025996233,0.15876378969683602
1,1,2.2916666666666665,0.16769550707053354,0.25244146071693685,0.15876378969683616
1,1,2.3125,0.16772112748959292,0.25265039577526877,0.15876378969683622
1,1,2.333333333333333,0.16774629040142391,0.2528401450909413,0.15876378969683608
1,1,2.3541666666666665,0.1677710079522225,0.25301227705471907,0.15876378969683608
1,1,2.375,0.16779529186200293,0.25316825346672533,0.1587637896968361
1,1,2.395833333333333,0.16781915344312695,0.2533094343465266,0.15876378969683602
1,1,2.4166666666666665,0.1678426036178749,0.25343708282273436,0.15876378969683602
1,1,2.4375,0.16786565293511618,0.25355237005299114,0.1587637896968361
1,1,2.458333333333333,0.16788831158613143,0.25365638013160835,0.15876378969683602
1,1,2.4791666666666665,0.16791058941963766,0.25375011494809807,0.15876378969683616
1,1,2.5,0.16793249595606174,0.25394946530073575,0.15876378969683616
1,1,2.520833333333333,0.1679540404011066,0.25420468342387637,0.15876378969683608
1,1,2.5416666666666665,0.1679752316586498,0.2544397812549259,0.15876378969683622
1,1,2.5625,0.16799607834301344,0.25465614708956785,0.158763789696836
1,1,2.583333333333333,0.16801658879064021,0.25485509296408226,0.15876378969683602
1,1,2.6041666666666665,0.16803677107120868,0.25503785687889785,0.1587637896968361
1,1,2.625,0.16805663299821985,0.25520560518036695,0.15876378969683594
1,1,2.645833333333333,0.16807618213908307,0.2553594350672188,0.1587637896968361
1,1,2.6666666666666665,0.16809542582472908,0.255500377191203,0.15876378969683627
1,1,2.6875,0.16811437115877587,0.2556293983243867,0.15876378969683602
1,1,2.708333333333333,0.16813302502627128,0.25574740406839513,0.15876378969683622
1,1,2.7291666666666665,0.16815139410203545,0.2558552415835735,0.15876378969683622
1,1,2.75,0.1681694848586226,0.25595370231859144,0.15876378969683622
1,1,2.770833333333333,0.16818730357392486,0.25604352472338465,0.15876378969683608
1,1,2.7916666666666665,0.16820485633843446,0.2561253969305616,0.1587637896968361
1,1,2.8125,0.16822214906218322,0.256199959392452,0.15876378969683616
1,1,2.833333333333333,0.16823918748137562,0.25626780746288913,0.15876378969683597
1,1,2.8541666666666665,0.16825597716473134,0.25632949391454785,0.1587637896968361
1,1,2.875,0.16827252351955196,0.2563855313842677,0.15876378969683605
1,1,2.895833333333333,0.16828883179752543,0.25653802188407976,0.15876378969683605
1,1,2.9166666666666665,0.16830490710028226,0.25673435623422247,0.15876378969683627
1,1,2.9375,0.16832075438471514,0.25691685947944853,0.15876378969683616
1,1,2.958333333333333,0.16833637846807406,0.2570863886473105,0.15876378969683627
1,1,2.9791666666666665,0.168351784032848,0.2572437578773572,0.15876378969683605
1,1,3.0,0.16836697563144354,0.25738973966534223,0.15876378969683616
1,-1,0.5,0.07346276515869435,0.09855478902932266,0.07085300365203584
1,-1,0.5208333333333334,0.07375335433088606,0.10023241201920068,0.07085300365203587
1,-1,0.5416666666666666,0.07402207975971262,0.10194506722205182,0.07085300365203585
1,-1,0.5625,0.07427126779080101,0.10361674367220013,0.07085300365203581
1,-1,0.5833333333333334,0.07450293838934306,0.10526124705765624,0.07085300365203587
1,-1,0.6041666666666666,0.07471885030323824,0.10690099142440254,0.07085300365203584
1,-1,0.625,0.0749205397781363,0.1085062232620469,0.07085300365203587
1,-1,0.6458333333333333,0.07510935330664108,0.11008607227538934,0.07085300365203587
1,-1,0.6666666666666666,0.07528647517500378,0.1116480926248813,0.07085300365203591
1,-1,0.6875,0.07545295059660513,0.11316619857085683,0.07085300365203591
1,-1,0.7083333333333333,0.07560970515175514,0.11461643642621445,0.07085300365203581
1,-1,0.7291666666666666,0.07575756115512608,0.11601150059379994,0.07085300365203584
1,-1,0.75,0.07589725147324301,0.11743574003625215,0.07085300365203587
