lambda,d_exact_tau,d_exact_weak,d_exact_hmf,d_exact_us,d_weak_tau,d_us_projector_vs_closed,alpha0,delta_x0,delta_z0,exact_bloch_x,exact_bloch_y,exact_bloch_z,exact_coherence_hs,tau_bloch_x,tau_bloch_y,tau_bloch_z,tau_coherence_hs,weak_bloch_x,weak_bloch_y,weak_bloch_z,weak_coherence_hs,hmf_bloch_x,hmf_bloch_y,hmf_bloch_z,hmf_coherence_hs,us_bloch_x,us_bloch_y,us_bloch_z,us_coherence_hs
2.0,0.4142346229214985,0.5383395039009349,0.5383395039009349,0.038339503900934796,0.9525741268224334,1.1102230246251565e-16,475.2053699405173,6.89464209851243e-10,472.8553623367731,6.928073979142699e-12,0.0,-0.07667900780186959,6.928073979142699e-12,0.0,0.0,-0.9051482536448666,0.0,8.09023136217543e-12,0.0,1.0,8.09023136217543e-12,1.4592441608394484e-12,0.0,1.0,1.4592441608394484e-12,7.34473033708545e-12,0.0,0.0,7.34473033708545e-12
2.2,0.4183529268647474,0.5342211999576859,0.5342211999576859,0.03422119995768591,0.9525741268224334,1.1102230246251565e-16,475.2053699405173,6.89464209851243e-10,472.8553623367731,6.9766714120777974e-12,0.0,-0.06844239991537182,6.9766714120777974e-12,0.0,0.0,-0.9051482536448666,0.0,8.086504839943287e-12,0.0,1.0,8.086504839943287e-12,1.4590431823512327e-12,0.0,1.0,1.4590431823512327e-12,7.34473033708545e-12,0.0,0.0,7.34473033708545e-12
2.4000000000000004,0.42172267161662236,0.530851455205811,0.530851455205811,0.03085145520581095,0.9525741268224334,1.1102230246251565e-16,475.2053699405173,6.89464209851243e-10,472.8553623367731,7.013661038728391e-12,0.0,-0.0617029104116219,7.013661038728391e-12,0.0,0.0,-0.9051482536448666,0.0,8.083672811889224e-12,0.0,1.0,8.083672811889224e-12,1.4588903587905096e-12,0.0,1.0,1.4588903587905096e-12,7.34473033708545e-12,0.0,0.0,7.34473033708545e-12
2.6,0.42451768590556527,0.528056440916868,0.528056440916868,0.028056440916868042,0.9525741268224334,1.1102230246251565e-16,475.2053699405173,6.89464209851243e-10,472.8553623367731,7.047230024199442e-12,0.0,-0.056112881833736084,7.047230024199442e-12,0.0,0.0,-0.9051482536448666,0.0,8.081470200327499e-12,0.0,1.0,8.081470200327499e-12,1.458771448275082e-12,0.0,1.0,1.458771448275082e-12,7.34473033708545e-12,0.0,0.0,7.34473033708545e-12
2.8000000000000003,0.42686391314921907,0.5257102136732142,0.5257102136732142,0.025710213673214244,0.9525741268224334,1.1102230246251565e-16,475.2053699405173,6.89464209851243e-10,472.8553623367731,7.074363848560482e-12,0.0,-0.05142042734642849,7.074363848560482e-12,0.0,0.0,-0.9051482536448666,0.0,8.07972334936118e-12,0.0,1.0,8.07972334936118e-12,1.4586771102127848e-12,0.0,1.0,1.4586771102127848e-12,7.34473033708545e-12,0.0,0.0,7.34473033708545e-12
3.0,0.4288549684002991,0.5237191584221342,0.5237191584221342,0.023719158422134234,0.9525741268224334,1.1102230246251565e-16,475.2053699405173,6.89464209851243e-10,472.8553623367731,7.096980722650066e-12,0.0,-0.04743831684426847,7.096980722650066e-12,0.0,0.0,-0.9051482536448666,0.0,8.078314629418884e-12,0.0,1.0,8.078314629418884e-12,1.4586010119700982e-12,0.0,1.0,1.4586010119700982e-12,7.34473033708545e-12,0.0,0.0,7.34473033708545e-12
3.2,0.43056172498223766,0.5220124018401957,0.5220124018401957,0.022012401840195622,0.9525741268224334,1.1102230246251565e-16,475.2053699405173,6.89464209851243e-10,472.8553623367731,7.118725860828027e-12,0.0,-0.044024803680391245,7.118725860828027e-12,0.0,0.0,-0.9051482536448666,0.0,8.077162060853688e-12,0.0,1.0,8.077162060853688e-12,1.458538737042714e-12,0.0,1.0,1.458538737042714e-12,7.34473033708545e-12,0.0,0.0,7.34473033708545e-12
3.4000000000000004,0.4320385635836986,0.5205355632387347,0.5205355632387347,0.020535563238734705,0.9525741268224334,1.1102230246251565e-16,475.2053699405173,6.89464209851243e-10,472.8553623367731,7.131976323494951e-12,0.0,-0.04107112647746941,7.131976323494951e-12,0.0,0.0,-0.9051482536448666,0.0,8.076207089432915e-12,0.0,1.0,8.076207089432915e-12,1.4584871291362722e-12,0.0,1.0,1.4584871291362722e-12,7.34473033708545e-12,0.0,0.0,7.34473033708545e-12
3.6,0.4333276481856285,0.5192464786368047,0.5192464786368047,0.01924647863680473,0.9525741268224334,1.1102230246251565e-16,475.2053699405173,6.89464209851243e-10,472.8553623367731,7.144361008846492e-12,0.0,-0.03849295727360946,7.144361008846492e-12,0.0,0.0,-0.9051482536448666,0.0,8.075406987983871e-12,0.0,1.0,8.075406987983871e-12,1.4584438840212277e-12,0.0,1.0,1.4584438840212277e-12,7.34473033708545e-12,0.0,0.0,7.34473033708545e-12
3.8000000000000003,0.4344619636443647,0.5181121631780685,0.5181121631780685,0.018112163178068602,0.9525741268224334,1.1102230246251565e-16,475.2053699405173,6.89464209851243e-10,472.8553623367731,7.164287181817022e-12,0.0,-0.036224326356137204,7.164287181817022e-12,0.0,0.0,-0.9051482536448666,0.0,8.074729986002601e-12,0.0,1.0,8.074729986002601e-12,1.4584072876855674e-12,0.0,1.0,1.4584072876855674e-12,7.34473033708545e-12,0.0,0.0,7.34473033708545e-12
