lambda,d_exact_tau,d_exact_weak,d_exact_hmf,d_exact_hmf_ordered,d_hmf_vs_ordered,d_exact_us,d_weak_tau,d_us_projector_vs_closed,alpha0,delta_x0,delta_y0,delta_z0,exact_bloch_x,exact_bloch_y,exact_bloch_z,exact_coherence_hs,tau_bloch_x,tau_bloch_y,tau_bloch_z,tau_coherence_hs,weak_bloch_x,weak_bloch_y,weak_bloch_z,weak_coherence_hs,hmf_bloch_x,hmf_bloch_y,hmf_bloch_z,hmf_coherence_hs,hmf_ordered_bloch_x,hmf_ordered_bloch_y,hmf_ordered_bloch_z,hmf_ordered_coherence_hs,us_bloch_x,us_bloch_y,us_bloch_z,us_coherence_hs
0.11,0.017546147391352927,0.17497992500671747,0.06034894052164398,0.012150521406940442,0.048691781927055665,0.09484743100787388,0.19240563724202314,4.440892098500626e-16,48.33279089167917,31.792963508558618,28.77734539796681,4.328654843111006,0.03476649074400737,0.0,-0.9003774807029655,0.03476649074400737,0.0,0.0,-0.9051482536448666,0.0,0.3846948584535592,0.0,-0.8956834319649806,0.3846948584535592,0.15468166196019062,0.0,-0.9141008257956589,0.15468166196019062,0.058822681049467314,0.0,-0.8969364939506564,0.058822681049467314,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067
0.12,0.020265881962649786,0.2079062070954796,0.07129225037624566,0.01368509874483281,0.058155026096804036,0.09212904980998152,0.22805319158501375,4.440892098500626e-16,48.33279089167917,31.792963508558618,28.77734539796681,4.328654843111006,0.040154421157603426,0.0,-0.8996304326624474,0.040154421157603426,0.0,0.0,-0.9051482536448666,0.0,0.45585652817084943,0.0,-0.8900532712843763,0.45585652817084943,0.18183362920764684,0.0,-0.915672311017232,0.18183362920764684,0.06724558770956551,0.0,-0.8957321759396096,0.06724558770956551,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067
0.13,0.023043395094299517,0.23612447749896226,0.08291225355637694,0.015119282615863261,0.0683900373151918,0.08935296189395836,0.2591445811184244,4.440892098500626e-16,48.33279089167917,31.792963508558618,28.77734539796681,4.328654843111006,0.04565647147981524,0.0,-0.8988650345733423,0.04565647147981524,0.0,0.0,-0.9051482536448666,0.0,0.5160088160521653,0.0,-0.8565832719335829,0.5160088160521653,0.21044987531019396,0.0,-0.9173285448892459,0.21044987531019396,0.07558293151441794,0.0,-0.8945316967062119,0.07558293151441794,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067
0.14,0.025852018013886258,0.26417255072557355,0.09510882315239177,0.016423499402732945,0.07932556990946583,0.08654582611090783,0.2900225597711412,4.440892098500626e-16,48.33279089167917,31.792963508558618,28.77734539796681,4.328654843111006,0.051219770912448774,0.0,-0.8980883379769946,0.051219770912448774,0.0,0.0,-0.9051482536448666,0.0,0.5736293399645962,0.0,-0.8191149982339364,0.5736293399645962,0.24027837171622257,0.0,-0.9190549406548496,0.24027837171622257,0.08372332729681342,0.0,-0.8933508119459626,0.08372332729681342,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067
0.15,0.02866763511346337,0.29147319301267116,0.10776827634676134,0.017575900133863988,0.09086945471275942,0.08373174793431173,0.3200807126195304,4.440892098500626e-16,48.33279089167917,31.792963508558618,28.77734539796681,4.328654843111006,0.05679651497414595,0.0,-0.8973067551409882,0.05679651497414595,0.0,0.0,-0.9051482536448666,0.0,0.6275275059991836,0.0,-0.7785943932590604,0.6275275059991836,0.27104496316350446,0.0,-0.9208356309207497,0.27104496316350446,0.09157578470531783,0.0,-0.89220269214876,0.09157578470531783,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067
0.16,0.031468871004779915,0.31756010964160597,0.12076514541256814,0.018562588640634026,0.10291009479919316,0.08093209251771509,0.3488300741459807,4.440892098500626e-16,48.33279089167917,31.792963508558618,28.77734539796681,4.328654843111006,0.06234433617545171,0.0,-0.8965260082236218,0.06234433617545171,0.0,0.0,-0.9051482536448666,0.0,0.6768701469678408,0.0,-0.7361024413379795,0.6768701469678408,0.3024572792242928,0.0,-0.9226536940472635,0.3024572792242928,0.09907052273415551,0.0,-0.8910977480031769,0.09907052273415551,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067
0.17,0.03423716128194322,0.34209481002132064,0.13396473783761653,0.019377235124390733,0.11531935051444561,0.07816541404463648,0.3759161606563798,4.440892098500626e-16,48.33279089167917,31.792963508558618,28.77734539796681,4.328654843111006,0.06782644398758321,0.0,-0.8957511079834222,0.06782644398758321,0.0,0.0,-0.9051482536448666,0.0,0.7211997710540292,0.0,-0.6927271398116402,0.7211997710540292,0.33420999487072733,0.0,-0.924491458616159,0.33420999487072733,0.10615833586077611,0.0,-0.8900436541127775,0.10615833586077611,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067
0.18,0.036956726031856374,0.36486608441226875,0.14722640357085004,0.020020220996237553,0.12795659599132114,0.07544748232839309,0.40111789379976726,4.440892098500626e-16,48.33279089167917,31.792963508558618,28.77734539796681,4.328654843111006,0.07321157189006934,0.0,-0.8949863572982208,0.07321157189006934,0.0,0.0,-0.9051482536448666,0.0,0.7603976767884688,0.0,-0.6494577531561999,0.7603976767884688,0.3659913126812404,0.0,-0.9263308786038954,0.3659913126812404,0.11280883938907643,0.0,-0.8890455323079657,0.11280883938907643,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067
0.19,0.03961446614198321,0.38577575189059543,0.1580969633776969,0.020497488216454286,0.13821433050492787,0.07279138661030858,0.424332340837057,4.440892098500626e-16,48.33279089167917,31.792963508558618,28.77734539796681,4.328654843111006,0.07847377128301637,0.0,-0.8942353744886506,0.07847377128301637,0.0,0.0,-0.9051482536448666,0.0,0.7946125214793943,0.0,-0.6071169086001139,0.7946125214793943,0.3936767549076323,0.0,-0.9192489394312054,0.3936767549076323,0.11900797752560939,0.0,-0.8881062459194605,0.11900797752560939,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067
0.2,0.04219980192673525,0.4048165420500474,0.16757377431395704,0.020819260181638703,0.14720576438444233,0.07020769703308656,0.4455514223651146,4.440892098500626e-16,48.33279089167917,31.792963508558618,28.77734539796681,4.328654843111006,0.08359209099978095,0.0,-0.8935011315579691,0.08359209099978095,0.0,0.0,-0.9051482536448666,0.0,0.8241771143683699,0.0,-0.5663321323670651,0.8241771143683699,0.41841468602355436,0.0,-0.908256104036637,0.41841468602355436,0.12475516413596871,0.0,-0.8872267560489702,0.12475516413596871,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067
0.21,0.04470447198092643,0.42204773856251976,0.17649488757159795,0.02099877257968926,0.15582009425040183,0.06770466587911075,0.4648364355548719,4.440892098500626e-16,48.33279089167917,31.792963508558618,28.77734539796681,4.328654843111006,0.08855017795400702,0.0,-0.8927860028511221,0.08855017795400702,0.0,0.0,-0.9051482536448666,0.0,0.8495309150472202,0.0,-0.5275388368442958,0.8495309150472202,0.4415116557722992,0.0,-0.8972555142305915,0.4415116557722992,0.13006036596702017,0.0,-0.8864064973422023,0.13006036596702017,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067
