sx,sz,d_mean,d_max,d_last
0.2,0.625,0.051869619130985534,0.05706392151644839,0.05393228840159542
0.3875,0.95,0.051871286127755815,0.06847089745302283,0.05182200899633108
0.3375,1.0,0.05187439472277922,0.061373042538115034,0.053104823305741164
0.325,0.7749999999999999,0.05187537207217513,0.06917096986843674,0.05185437189423156
0.2625,0.8,0.05187706373296722,0.059746120380458095,0.053518175125976494
0.25,0.575,0.05188227225451267,0.06890652046210369,0.05197781563568434
0.375,1.1,0.05189641765905524,0.06183956593004717,0.052970911778495874
0.3625,0.875,0.05190300195154218,0.06897741167630714,0.05183341848979468
0.4,0.975,0.051936489940029466,0.06873652628391853,0.051824221271250706
0.325,0.975,0.05193701191676264,0.060903888747470804,0.05328023858245809
0.22500000000000003,0.7,0.05193735660919036,0.058235644775320755,0.05385559517069098
0.3625,1.075,0.05194314158357118,0.06144156071235596,0.05311663899602946
0.28750000000000003,0.875,0.05195048896681345,0.06014329576469009,0.05349695266064759
0.4,1.1749999999999998,0.05195922722672638,0.06431730399753148,0.052989387919069625
0.3375,0.8,0.05196171245603573,0.06952372337368412,0.051868544086297166
0.3,0.7,0.05196379935821109,0.06968588401837322,0.051917793156863304
0.375,0.8999999999999999,0.051977123287844026,0.0692644063680581,0.0518419834479979
0.25,0.7749999999999999,0.052001306126033035,0.059009950788131024,0.053794965457383076
0.2625,0.6,0.05200153104434485,0.06958607331246286,0.05200820269834029
0.35000000000000003,1.0499999999999998,0.05200231496261788,0.06102142104439993,0.053280238582458075
0.3875,1.15,0.0520045536041786,0.06286724855653913,0.05312696463706984
0.3125,0.95,0.05201650906987332,0.06040407440381392,0.053479202596749556
0.35000000000000003,0.825,0.05204529253688609,0.06984139499656289,0.051884059970027124
0.3875,0.925,0.05204936260913335,0.06952825726331488,0.05185216987097323
0.375,1.125,0.05206077611796524,0.06136593476408851,0.05328023858245808
0.275,0.85,0.05206085679535239,0.059524690996570845,0.05374584717662567
0.3125,0.725,0.05206090025340854,0.0700974967647075,0.05193999168238024
0.3375,1.025,0.052075965970285173,0.06057723170179306,0.053464137779034304
0.1625,0.525,0.05207854831904457,0.054547163510563657,0.054547163510563657
0.1875,0.6,0.05209390807456567,0.055810982539986016,0.05436293620785493
0.22500000000000003,0.5,0.052111946863201176,0.06887999176373463,0.05217814907343245
0.4,1.2,0.05211318165011339,0.06388703057203525,0.05328023858245808
0.275,0.625,0.05211449270140532,0.07016925695024373,0.05203829614007025
0.3,0.925,0.052115887181516864,0.0598706576552344,0.053705255531595386
0.4,0.95,0.0521196481169776,0.06977181736776791,0.051863651053367196
0.21250000000000002,0.675,0.05212407960029845,0.05724621793637744,0.05422493691384252
0.3625,0.85,0.05212609554587569,0.07012886105982652,0.05190056942114431
0.3625,1.1,0.052129547308410615,0.0606940007262117,0.05345119211254619
0.325,0.75,0.052153984527456176,0.07046106050995435,0.05196262054293232
0.2375,0.75,0.05216071788089416,0.058208474036812535,0.05411782572298843
0.325,1.0,0.052166475396178205,0.060106904539740436,0.05367115324541863
0.3875,1.1749999999999998,0.05217783126574103,0.062452896349371345,0.05343994809124816
0.2625,0.825,0.05219967033385753,0.0588574676760601,0.054032340355075544
