beta,omega_q,beta_omega_q,theta,g,g2,theory_model,g_star,g_max_used,g_range_hit_cap,chi0,sigma_plus0,sigma_minus0,delta_z0,kms_residual_base,sigma_plus,sigma_minus,delta_z,chi,gamma,phi_ed,r_ed,coherence_ed,rho01_abs_ed,mx_ed,my_ed,mz_ed,gauge_phase_ed,phi_th,r_th,coherence_th,rho01_abs_th,mx_th,my_th,mz_th,gauge_phase_th,trace_distance,phi_ed_unwrapped,phi_th_unwrapped,xi_phi_ed,xi_phi_th
2.0,1.0,2.0,0.7853981633974483,0.2585863737446764,0.06686691268642148,ordered,0.14266834413499388,0.3566708603374847,0.0,49.129773127197325,89.55591488472369,12.120075106438069,36.44599007986,-7.105427357601002e-14,5.988327541149412,0.8104320038950649,2.437030836440182,3.2851562499999996,0.3035475719860725,2.5720939803573946,0.6145849486292734,0.33139029695478595,0.16569514847739297,0.33139029695478595,0.0,-0.5175858674325116,0.0,2.5330194259214336,0.6122139542189787,0.3500011419698512,0.1750005709849256,0.3500011419698512,0.0,-0.5022998371095075,0.0,0.012041867330387097,2.5720939803573946,2.5330194259214336,-1.063376517701489,-0.8304255988350684
2.0,1.0,2.0,0.7853981633974483,0.26155863091415543,0.06841291740568739,ordered,0.14266834413499388,0.3566708603374847,0.0,49.129773127197325,89.55591488472369,12.120075106438069,36.44599007986,-7.105427357601002e-14,6.1267814081993714,0.8291696972074755,2.493376509101964,3.36111111111111,0.2968051760577093,2.5689789568471695,0.6143998494320797,0.3329006862693803,0.16645034313469015,0.3329006862693803,0.0,-0.516395495781613,0.0,2.5305883106157854,0.6121104357831277,0.3511618677491533,0.17558093387457666,0.3511618677491533,0.0,-0.5013626713603005,0.0,0.011826417030521251,2.5689789568471695,2.5305883106157854,-1.0332066224058165,-0.8059809629133734
2.0,1.0,2.0,0.7853981633974483,0.2645308880836345,0.06997659075031637,ordered,0.14266834413499388,0.3566708603374847,0.0,49.129773127197325,89.55591488472369,12.120075106438069,36.44599007986,-7.105427357601002e-14,6.266817605158476,0.8481215355863139,2.550366132308454,3.4379340277777777,0.2902723901349286,2.5659520687753967,0.6142240798546429,0.33436654614275907,0.16718327307137953,0.33436654614275907,0.0,-0.5152380353718511,0.0,2.528228260530468,0.6120119239599519,0.3522874241534251,0.17614371207671256,0.3522874241534251,0.0,-0.5004519615832339,0.0,0.011616645888073781,2.5659520687753967,2.528228260530468,-1.004057008774127,-0.7825814942555054
2.0,1.0,2.0,0.7853981633974483,0.26750314525311353,0.07155793272030836,ordered,0.14266834413499388,0.3566708603374847,0.0,49.129773127197325,89.55591488472369,12.120075106438069,36.44599007986,-7.105427357601002e-14,6.40843613202672,0.8672875190315795,2.607999706059648,3.5156249999999996,0.2839420894732604,2.5630103255613803,0.6140570664122007,0.3357894659495426,0.1678947329747713,0.3357894659495426,0.0,-0.5141123567549013,0.0,2.5259362437017803,0.6119180842536646,0.3533793502067652,0.1766896751033826,0.3533793502067652,0.0,-0.4995665888388848,0.0,0.011412530311559973,2.5630103255613803,2.5259362437017803,-0.9758992949216883,-0.7601780350720632
2.0,1.0,2.0,0.7853981633974483,0.27047540242259255,0.07315694331566339,ordered,0.14266834413499388,0.3566708603374847,0.0,49.129773127197325,89.55591488472369,12.120075106438069,36.44599007986,-7.105427357601002e-14,6.551636988804106,0.8866676475432727,2.6662772303555484,3.594184027777777,0.2778072828011403,2.5601508214233557,0.6138982730031793,0.33717098351335006,0.16858549175667503,0.33717098351335006,0.0,-0.5130173656640936,0.0,2.523709371300821,0.6118286084440028,0.35443910980910764,0.17721955490455382,0.35443910980910764,0.0,-0.49870548778638096,0.0,0.011214031769983479,2.5601508214233557,2.523709371300821,-0.9487048776975825,-0.7387234223643536
2.0,1.0,2.0,0.7853981633974483,0.2734476595920716,0.07477362253638148,ordered,0.14266834413499388,0.3566708603374847,0.0,49.129773127197325,89.55591488472369,12.120075106438069,36.44599007986,-7.105427357601002e-14,6.696420175490637,0.9062619211213937,2.725198705196156,3.6736111111111107,0.2718611306608119,2.5573707358124675,0.6137471985657081,0.3385125857127033,0.16925629285635166,0.3385125857127033,0.0,-0.5119520026929815,0.0,2.521544891725011,0.6117432123941159,0.3554680951135666,0.1777340475567833,0.3554680951135666,0.0,-0.4978676443258838,0.0,0.011021098512122067,2.5573707358124675,2.521544891725011,-0.9224450745437741,-0.7181724685091108
2.0,1.0,2.0,0.7853981633974483,0.27641991676155064,0.07640797038246258,ordered,0.14266834413499388,0.3566708603374847,0.0,49.129773127197325,89.55591488472369,12.120075106438069,36.44599007986,-7.105427357601002e-14,6.8427856920863075,0.926070339765942,2.7847641305814683,3.753906249999999,0.26609696007252864,2.554667333450829,0.6136033748557358,0.33981570921380877,0.16990785460690438,0.33981570921380877,0.0,-0.5109152428787624,0.0,2.5194401847639236,0.6116616340410712,0.35646762981776114,0.17823381490888057,0.35646762981776114,0.0,-0.49705209329596517,0.0,0.010833667155623533,2.554667333450829,2.5194401847639236,-0.8970912486804439,-0.6984819316776565
2.0,1.0,2.0,0.7853981633974483,0.27939217393102966,0.07805998685390673,ordered,0.14266834413499388,0.3566708603374847,0.0,49.129773127197325,89.55591488472369,12.120075106438069,36.44599007986,-7.105427357601002e-14,6.990733538591122,0.9460929034769179,2.844973506511487,3.835069444444443,0.2605082759446114,2.552037964021333,0.6134663643442069,0.3410817413118239,0.17054087065591195,0.3410817413118239,0.0,-0.509906095203218,0.0,2.5173927558666502,0.611583631554745,0.3574389723610968,0.1787194861805484,0.3574389723610968,0.0,-0.49625791623220805,0.0,0.010651664151953125,2.552037964021333,2.5173927558666502,-0.8726149189502913,-0.6796104779408308
2.0,1.0,2.0,0.7853981633974483,0.28236443110050874,0.07972967195071394,ordered,0.14266834413499388,0.3566708603374847,0.0,49.129773127197325,89.55591488472369,12.120075106438069,36.44599007986,-7.105427357601002e-14,7.140263715005079,0.9663296122543216,2.9058268329862127,3.9171006944444438,0.25508876962193094,2.54948006155274,0.6133357582307516,0.34231202086432483,0.17115601043216241,0.34231202086432483,0.0,-0.5089236020232045,0.0,2.515400230532898,0.6115089816517671,0.35838331902188225,0.17919165951094113,0.35838331902188225,0.0,-0.4954842391919657,0.0,0.01047500713339605,2.54948006155274,2.515400230532898,-0.8489878556380309,-0.6615186366693627
2.0,1.0,2.0,0.7853981633974483,0.28533668826998776,0.08141702567288417,ordered,0.14266834413499388,0.3566708603374847,0.0,49.129773127197325,89.55591488472369,12.120075106438069,36.44599007986,-7.105427357601002e-14,7.2913762213281785,0.9867804660981526,2.967324110005644,3.999999999999999,0.24983232493476681,2.5469911435398913,0.6132111745703709,0.34350783930193857,0.17175391965096928,0.34350783930193857,0.0,-0.507966838441337,0.0,2.513460348845481,0.611437478052061,0.35930180690985525,0.17965090345492762,0.35930180690985525,0.0,-0.49473023064896454,0.0,0.010303606148444066,2.5469911435398913,2.513460348845481,-0.8261821634565647,-0.6441687506421208
